Time,TimeStamp,PodName,CpuUsage(m),CpuUsageRate(%),MemoryUsage(Mi),MemoryUsageRate(%),SyscallRead,SyscallWrite,NetworkReceiveBytes,NetworkTransmitBytes,PodClientLatencyP90(s),PodServerLatencyP90(s),PodClientLatencyP95(s),PodServerLatencyP95(s),PodClientLatencyP99(s),PodServerLatencyP99(s),PodWorkload(Ops),PodSuccessRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%),NodeNetworkReceiveBytes
2025-06-06 08:41:09.173725264 +0000 UTC m=+0.249887129,1674981669,ts-admin-travel-service-786f864768-dqjwx,1.752547067993928,0.3505094135987856,351.44140625,17.5720703125,0,0,925.925925925926,19708.19796404592,0.0033999999999999,0,0.0041999999999999,0,0.00484,0,0,0,3.082795067529598,36.71259744077321,23891.0
2025-06-06 08:42:09.149236771 +0000 UTC m=+60.225398632,1674981729,ts-admin-travel-service-786f864768-dqjwx,1.447504631779572,0.2894894168719965,352.34375,17.6171875,0,0,1065.794046102166,27413.14336460867,0.0033999999999999,0,0.0041999999999999,0,0.00484,0,0,0,2.8680447817559185,36.685446364426966,21848.466666666667
2025-06-06 08:43:09.285174056 +0000 UTC m=+120.361335917,1674981789,ts-admin-travel-service-786f864768-dqjwx,1.35875577500002,0.2717511550000039,351.53125,17.5765625,0,0,1025.6110958527877,24875.102993683053,0.0041999999999999,0,0.0046,0,0.00492,0,0,0,2.919830515577937,36.70415694444275,23063.366666666665
2025-06-06 08:44:09.147855846 +0000 UTC m=+180.224017707,1674981849,ts-admin-travel-service-786f864768-dqjwx,2.136056212262967,0.4272112424525934,351.7890625,17.589453125000002,0,0,1143.005630142919,30660.892161108703,0.0041999999999999,0,0.0046,0,0.00492,0,0,0,3.290937329477528,36.75053088526414,26460.6
2025-06-06 08:45:09.178519493 +0000 UTC m=+240.254681354,1674981909,ts-admin-travel-service-786f864768-dqjwx,2.426050494278994,0.4852100988557988,351.91796875,17.595898437499997,0,0,976.43415028279,24179.9084298411,0.0033999999999999,0,0.0041999999999999,0,0.00484,0,0,0,3.238374528695287,36.69073997050705,29359.966666666667
2025-06-06 08:46:09.162019988 +0000 UTC m=+300.238181850,1674981969,ts-admin-travel-service-786f864768-dqjwx,2.13188445039485,0.42637689007897,352.046875,17.60234375,0,0,1017.00722651383,22282.768502367308,0.0041999999999999,0,0.0046,0,0.00492,0,0,0,3.098887255926275,36.71511007407389,28648.966666666667
2025-06-06 08:47:09.170625872 +0000 UTC m=+360.246787733,1674982029,ts-admin-travel-service-786f864768-dqjwx,1.9258725753523176,0.3851667648463104,352.046875,17.60234375,0,0,1031.193121195004,22448.75415803678,0.0033999999999999,0,0.0041999999999999,0,0.00484,0,0,0,3.075309418925632,36.71891561577202,23501.466666666667
2025-06-06 08:48:09.309074053 +0000 UTC m=+420.385235913,1674982089,ts-admin-travel-service-786f864768-dqjwx,1.6023864904476577,0.3204772980895315,352.046875,17.60234375,0,0,958.5813647471648,22354.784134344256,0.0038,0,0.0043999999999999,0,0.00488,0,0,0,2.823697239239076,36.73618692040198,22145.3
2025-06-06 08:49:09.161824722 +0000 UTC m=+480.237986599,1674982149,ts-admin-travel-service-786f864768-dqjwx,1.9959877378638973,0.3991975475727795,352.17578125,17.608789062499998,0,0,916.7415586082938,22779.36833996662,0.0033999999999999,0,0.0041999999999999,0,0.00484,0,0,0,3.152511109250944,36.726477910172136,23953.166666666668
2025-06-06 08:50:09.211368193 +0000 UTC m=+540.287530055,1674982209,ts-admin-travel-service-786f864768-dqjwx,2.0665844679894763,0.4132996697282631,351.96484375,17.5982421875,0,0,1272.753209700428,33760.057061340936,0.0033999999999999,0,0.0041999999999999,0,0.00484,0,0,0,3.3872725748267163,36.73167393825996,28954.066666666666
2025-06-06 08:51:09.171440826 +0000 UTC m=+600.247602685,1674982269,ts-admin-travel-service-786f864768-dqjwx,3.702575423171266,0.7405150846342533,352.09375,17.6046875,0,0,1014.3658244597063,22451.326318442443,0.0046,0,0.0047999999999999,0,0.00496,0,0,0,3.7476420037749314,36.82349482897627,27449.1
2025-06-06 08:52:09.191692653 +0000 UTC m=+660.267854513,1674982329,ts-admin-travel-service-786f864768-dqjwx,2.219353196100468,0.4438611467422044,352.09375,17.6046875,0,0,994.8710057957636,18653.53644150382,18.000000000000004,0,23.999999999999996,0,28.8,0,0,0,2.8333962977034166,36.79588025716679,24771.866666666665
2025-06-06 08:53:09.167163925 +0000 UTC m=+720.243325802,1674982389,ts-admin-travel-service-786f864768-dqjwx,1.2290506194683306,0.2458043836170818,352.22265625,17.6111328125,0,0,946.401391606871,19527.016742770167,0.0044666666666666,0,0.0047333333333333,0,0.0049466666666666,0,0,0,3.4462543444598426,36.80539411141211,24534.2
2025-06-06 08:54:09.205426921 +0000 UTC m=+780.281588781,1674982449,ts-admin-travel-service-786f864768-dqjwx,4.467220638062882,0.893481859508374,352.3515625,17.617578125,0,0,903.782148260212,21676.187594553707,0.0041999999999999,0,0.0046,0,0.00492,0,0,0,3.284120459690532,36.77987746643623,25284.666666666668
2025-06-06 08:55:09.552375773 +0000 UTC m=+840.628537639,1674982509,ts-admin-travel-service-786f864768-dqjwx,3.8712552700610847,0.7742510540122169,352.3515625,17.617578125,0,0,872.8873655596265,21063.349485876373,0.0041999999999999,0,0.0046,0,0.00492,0,0,0,2.9836986129137544,36.76833886885152,23487.3
2025-06-06 08:56:09.192205723 +0000 UTC m=+900.268367583,1674982569,ts-admin-travel-service-786f864768-dqjwx,1.5020436353449869,0.3004024056690906,353.25390625,17.662695312500002,0,0,908.0985158098516,19488.86857388686,0.0046,0,0.0048,0,0.00496,0,0,0,3.7500524923361422,36.80300345060175,24614.63333333333
2025-06-06 08:57:09.269036279 +0000 UTC m=+960.345198139,1674982629,ts-admin-travel-service-786f864768-dqjwx,1.4376430640087752,0.287522633149002,352.41015625,17.6205078125,0,0,996.1247947454845,23431.855500821017,0.0046,0,0.0048,0,0.00496,0,0,0,3.361027190335164,36.79273336691642,27088.666666666668
2025-06-06 08:58:09.180968911 +0000 UTC m=+1020.257130778,1674982689,ts-admin-travel-service-786f864768-dqjwx,2.9749404532987995,0.5949880906597599,352.41015625,17.6205078125,0,0,393.49287974683546,328.32278481012656,0.0045,0,0.00475,0,0.0049499999999999,0,0,0,3.0533070503039994,36.78480515504533,25436.33333333333
2025-06-06 08:59:09.200422782 +0000 UTC m=+1080.276584642,1674982749,ts-admin-travel-service-786f864768-dqjwx,2.1376420252598467,0.4275284050519693,352.41015625,17.6205078125,0,0,1071.9761155491003,28571.61300734285,0.0046,0,0.0048,0,0.00496,0,0,0,2.8071500503534352,36.79780742251393,22944.13333333333
2025-06-06 09:00:09.294500745 +0000 UTC m=+1140.370662605,1674982809,ts-admin-travel-service-786f864768-dqjwx,1.3995662312435269,0.2799013250913027,352.5390625,17.626953125,0,0,892.9378013794787,21928.706586095344,0.0046,0,0.0048,0,0.00496,0,0,0,3.170270837713129,36.77021724520252,29757.066666666666
2025-06-06 09:01:09.218287599 +0000 UTC m=+1200.294449461,1674982869,ts-admin-travel-service-786f864768-dqjwx,2.4429103743808733,0.4885820748761747,352.5390625,17.626953125,0,0,881.9718594999495,18143.941694503494,0.0046,0,0.0048,0,0.00496,0,0,0,3.0920060331844024,36.74884766489766,24574.5
2025-06-06 09:02:09.164689606 +0000 UTC m=+1260.240851467,1674982929,ts-admin-travel-service-786f864768-dqjwx,1.776394572024867,0.3552789144049735,352.5390625,17.626953125,0,0,1385.4021902273612,39328.86764133637,0.0043333333333333,0,0.0046666666666666,0,0.0049333333333333,0,0,0,2.9071230808017767,36.78092642985301,25620.166666666668
2025-06-06 09:03:09.194348834 +0000 UTC m=+1320.270510694,1674982989,ts-admin-travel-service-786f864768-dqjwx,4.463799120081843,0.8927598240163684,353.3125,17.665625,0,0,1058.101768314688,26128.617827499096,0.0045,0,0.00475,0,0.0049499999999999,0,0,0,3.2444668008013933,36.77575479626325,28877.733333333334
