Time,TimeStamp,PodName,CpuUsage(m),CpuUsageRate(%),MemoryUsage(Mi),MemoryUsageRate(%),SyscallRead,SyscallWrite,NetworkReceiveBytes,NetworkTransmitBytes,PodClientLatencyP90(s),PodServerLatencyP90(s),PodClientLatencyP95(s),PodServerLatencyP95(s),PodClientLatencyP99(s),PodServerLatencyP99(s),PodWorkload(Ops),PodSuccessRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%),NodeNetworkReceiveBytes
2025-06-06 08:41:10.103179296 +0000 UTC m=+1.179341159,1674981670,ts-notification-service-5c596ccb87-f5trg,2.666226941831396,0.5332351198571909,385.890625,19.29453125,0,0,466.509339224744,35992.81984334203,0.0044,0,0.0046999999999999,0,0.0049399999999999,0,0,0,5.669317989521893,60.92313987467348,2615992.533333333
2025-06-06 08:42:09.738350137 +0000 UTC m=+60.814512006,1674981729,ts-notification-service-5c596ccb87-f5trg,2.37973430594808,0.4759363106759151,385.98828125,19.2994140625,0,0,456.8850376258266,23538.293644330064,0.0038,0,0.0043999999999999,0,0.00488,0,0,0,8.456659619447171,59.582002908454335,2616313.2
2025-06-06 08:43:10.413326449 +0000 UTC m=+121.489488342,1674981790,ts-notification-service-5c596ccb87-f5trg,2.2566931314250582,0.4513386262850115,386.1171875,19.305859375,0,0,419.9876237623762,22303.15594059406,0.0046,0,0.0048,0,0.00496,0,0,0,5.706314988600258,60.22737754367097,2624183.1666666665
2025-06-06 08:44:09.716429347 +0000 UTC m=+180.792591208,1674981849,ts-notification-service-5c596ccb87-f5trg,1.213255463312416,0.2426448392518535,386.1171875,19.305859375,0,0,483.469345051266,19037.08934923624,0.0044,0,0.0046999999999999,0,0.0049399999999999,0,0,0,5.645706558503372,60.66276256061733,2624181.966666667
2025-06-06 08:45:10.187126299 +0000 UTC m=+241.263288159,1674981910,ts-notification-service-5c596ccb87-f5trg,2.457183834092053,0.4914367668184105,386.375,19.31875,0,0,401.512623734846,20069.180291402517,0.0046,0,0.0048,0,0.00496,0,0,0,6.081594729288742,60.84650347660382,2624223.8666666667
2025-06-06 08:46:09.774669877 +0000 UTC m=+300.850831737,1674981969,ts-notification-service-5c596ccb87-f5trg,1.9309608167625412,0.3861921633525083,386.375,19.31875,0,0,495.2420072567947,24681.180256041625,0.0044,0,0.0046999999999999,0,0.0049399999999999,0,0,0,5.918108906721587,60.84934913030935,2624461.1666666665
2025-06-06 08:47:09.76751049 +0000 UTC m=+360.843672350,1674982029,ts-notification-service-5c596ccb87-f5trg,4.087738234092367,0.8175476468184735,386.375,19.31875,0,0,452.9514495284666,25156.758644778205,0.0038,0,0.0043999999999999,0,0.00488,0,0,0,7.518161851674088,59.87633181499719,2623970.6666666665
2025-06-06 08:48:10.137548447 +0000 UTC m=+421.213710311,1674982090,ts-notification-service-5c596ccb87-f5trg,3.8101605692110336,0.7620321138422067,387.0078125,19.350390625,0,0,431.9558927889077,19730.71674218025,0.0046,0,0.0048,0,0.00496,0,0,0,5.745669624006733,59.97077808022389,2625845.8
2025-06-06 08:49:09.686627908 +0000 UTC m=+480.762789769,1674982149,ts-notification-service-5c596ccb87-f5trg,1.2883647443908997,0.2576664662136715,387.265625,19.36328125,0,0,490.5660377358491,23793.44240664996,0.0038,0,0.0043999999999999,0,0.00488,0,0,0,7.259221743889698,59.545009410282425,2631964.2
2025-06-06 08:50:10.360086312 +0000 UTC m=+541.436248197,1674982210,ts-notification-service-5c596ccb87-f5trg,2.459584394999499,0.4919168789998996,386.54296875,19.3271484375,0,0,440.581253804017,27353.54534388314,0.0046,0,0.0048,0,0.00496,0,0,0,6.121416526129631,60.17178917042326,2631936.7666666666
2025-06-06 08:51:09.790521763 +0000 UTC m=+600.866683626,1674982269,ts-notification-service-5c596ccb87-f5trg,2.5378832049564743,0.5075766409912948,386.671875,19.33359375,0,0,482.1134462085776,23857.43461361091,0.0046,0,0.0048,0,0.00496,0,0,0,5.863989200125697,60.17846173773278,2634153.2
2025-06-06 08:52:10.184323147 +0000 UTC m=+661.260485039,1674982330,ts-notification-service-5c596ccb87-f5trg,1.5534472413205545,0.3106894482641109,386.52734375,19.3263671875,0,0,437.8012966143957,20003.10300881033,0.0044,0,0.0046999999999999,0,0.0049399999999999,0,0,0,5.981245247963873,60.14269481443394,2635948.466666667
2025-06-06 08:53:09.779532817 +0000 UTC m=+720.855694681,1674982389,ts-notification-service-5c596ccb87-f5trg,2.1721002793491744,0.4343994342567869,386.9140625,19.345703125,0,0,472.789315761605,21343.82538094958,0.0046,0,0.0048,0,0.00496,0,0,0,6.014150943413165,60.18537962001693,2625832.6
2025-06-06 08:54:10.192606133 +0000 UTC m=+781.268767992,1674982450,ts-notification-service-5c596ccb87-f5trg,1.85644772338412,0.371289544676824,387.04296875,19.3521484375,0,0,401.4997384177179,21036.38900191827,0.0044,0,0.0046999999999999,0,0.0049399999999999,0,0,0,7.519621909013308,58.98053965369376,2628697.3
2025-06-06 08:55:10.273467294 +0000 UTC m=+841.349629154,1674982510,ts-notification-service-5c596ccb87-f5trg,2.1808167150109754,0.436163343002195,387.30078125,19.3650390625,0,0,408.8344864289516,19310.59073975519,0.0046,0,0.0048,0,0.00496,0,0,0,6.260018560694059,59.17850883820791,2628563.3666666667
2025-06-06 08:56:09.845852009 +0000 UTC m=+900.922013875,1674982569,ts-notification-service-5c596ccb87-f5trg,1.8008715000000566,0.3601743000000113,386.9296875,19.346484375,0,0,422.4807670443779,13912.6084814492,0.0046,0,0.0048,0,0.00496,0,0,0,7.254935043036781,59.76324161169976,2632818.466666667
2025-06-06 08:57:10.246292377 +0000 UTC m=+961.322454238,1674982630,ts-notification-service-5c596ccb87-f5trg,2.4521799778034103,0.490435995560682,387.03515625,19.3517578125,0,0,571.9167246725304,24324.87502372967,0.00045,0,0.000475,0,0.000495,0,0,0,6.00641133794364,60.306908658441095,2632935.4
2025-06-06 08:58:09.813177104 +0000 UTC m=+1020.889338973,1674982689,ts-notification-service-5c596ccb87-f5trg,0.545982333333465,0.109196466666693,387.1640625,19.358203125,0,0,418.0474305531229,12882.894875118223,0.0046,0,0.0048,0,0.00496,0,0,0,5.845088267596433,60.919999842998415,2632057.8
2025-06-06 08:59:10.25905943 +0000 UTC m=+1081.335221290,1674982750,ts-notification-service-5c596ccb87-f5trg,3.104826895328217,0.6209653790656435,387.27734375,19.3638671875,0,0,588.4936319718928,24371.9806763285,0.0046,0,0.0048,0,0.00496,0,0,0,5.740130188513836,61.03264847934153,2636715.2333333334
2025-06-06 09:00:10.222544 +0000 UTC m=+1141.298705860,1674982810,ts-notification-service-5c596ccb87-f5trg,2.623561961484957,0.5247123922969914,387.25,19.3625,0,0,635.526764405046,26708.96692806001,0.0038,0,0.0043999999999999,0,0.00488,0,0,0,6.1286510214419,61.1573666124357,2637606.566666667
2025-06-06 09:01:10.144613839 +0000 UTC m=+1201.220775700,1674982870,ts-notification-service-5c596ccb87-f5trg,1.461956842285336,0.2923797181221318,387.234375,19.36171875,0,0,440.3586540398952,18230.505742494457,0.0044,0,0.0046999999999999,0,0.0049399999999999,0,0,0,19.66505962946392,57.196707284284734,2637027.3
2025-06-06 09:02:09.993167636 +0000 UTC m=+1261.069329498,1674982929,ts-notification-service-5c596ccb87-f5trg,1.5939945480794149,0.3186773180008899,387.234375,19.36171875,0,0,402.1553782143101,24533.456108041744,0.0044,0,0.0046999999999999,0,0.0049399999999999,0,0,0,7.884940778336169,56.89212421180299,2636864.433333333
2025-06-06 09:03:09.880255496 +0000 UTC m=+1320.956417357,1674982989,ts-notification-service-5c596ccb87-f5trg,2.187185306076514,0.4374198338578195,387.25,19.3625,0,0,473.6256752462663,28576.58087067048,0.0046,0,0.0048,0,0.00496,0,0,0,6.022669599073338,57.32064040946013,2652774.9
2025-06-06 09:04:09.867410436 +0000 UTC m=+1380.943572297,1674983049,ts-notification-service-5c596ccb87-f5trg,1.5935841546897067,0.3186890039129327,387.37890625,19.3689453125,0,0,441.7975413210987,21219.987059584728,0.0046,0,0.0048,0,0.00496,0,0,0,5.894274615788175,56.90792249616818,2652541.1666666665
2025-06-06 09:05:10.114299903 +0000 UTC m=+1441.190461766,1674983110,ts-notification-service-5c596ccb87-f5trg,2.59276581334416,0.518553162668832,387.5078125,19.375390625,0,0,567.6056338028169,28533.58042994811,0.0044,0,0.0046999999999999,0,0.0049399999999999,0,0,0,6.059325614806421,56.3197062500368,2666752.7
2025-06-06 09:06:09.903041335 +0000 UTC m=+1500.979203224,1674983169,ts-notification-service-5c596ccb87-f5trg,3.6745731449358447,0.7349146289871689,387.63671875,19.3818359375,0,0,431.375158006786,23961.14696294325,0.0046,0,0.0048,0,0.00496,0,0,0,6.545701203996446,54.13257606236103,2665170.7333333334
2025-06-06 09:07:10.131774281 +0000 UTC m=+1561.207936142,1674983230,ts-notification-service-5c596ccb87-f5trg,1.6362797227110462,0.3272559445422093,387.765625,19.38828125,0,0,618.5404704574921,35725.31950361178,0.0046,0,0.0048,0,0.00496,0,0,0,7.61768179519382,55.44986841304762,2664408.2666666666
2025-06-06 09:08:09.682077775 +0000 UTC m=+1620.758239635,1674983289,ts-notification-service-5c596ccb87-f5trg,1.1746131310193593,0.2349117589608417,387.765625,19.38828125,0,0,531.4502038439138,26368.666278392546,0.0044,0,0.0046999999999999,0,0.0049399999999999,0,0,0,5.395805142083332,57.555848407120806,2669831.3666666667
2025-06-06 09:09:09.83463397 +0000 UTC m=+1680.910795830,1674983349,ts-notification-service-5c596ccb87-f5trg,3.270755342142338,0.6541376286481301,387.89453125,19.3947265625,0,0,680.0904977375565,32685.97285067873,0.0044,0,0.0046999999999999,0,0.0049399999999999,0,0,0,6.293706293712287,56.42931298069469,2670401.333333333
2025-06-06 09:10:09.964210299 +0000 UTC m=+1741.040372192,1674983409,ts-notification-service-5c596ccb87-f5trg,2.0204258975422857,0.4040651741774916,387.89453125,19.3947265625,0,0,483.1612034126628,20380.556802873823,0.0044,0,0.0046999999999999,0,0.0049399999999999,0,0,0,6.452705563576777,55.78222114065575,2697304.6
2025-06-06 09:11:10.212578938 +0000 UTC m=+1801.288740806,1674983470,ts-notification-service-5c596ccb87-f5trg,2.247587453083342,0.4495174906166683,387.89453125,19.3947265625,0,0,402.5347758887172,22270.47913446677,0.0046,0,0.0048,0,0.00496,0,0,0,7.61791652529088,55.10505368472904,2669269.6333333333
