Time,TimeStamp,PodName,CpuUsage(m),CpuUsageRate(%),MemoryUsage(Mi),MemoryUsageRate(%),SyscallRead,SyscallWrite,NetworkReceiveBytes,NetworkTransmitBytes,PodClientLatencyP90(s),PodServerLatencyP90(s),PodClientLatencyP95(s),PodServerLatencyP95(s),PodClientLatencyP99(s),PodServerLatencyP99(s),PodWorkload(Ops),PodSuccessRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%),NodeNetworkReceiveBytes
2025-06-06 08:41:10.359523168 +0000 UTC m=+1.435685027,1674981670,ts-route-plan-service-7cf64f4bd6-6k8mv,2.084986780550144,0.4169973561100287,332.18359375,16.6091796875,0,0,913.0838805600298,18408.00396481229,0.00045,0,0.000475,0,0.000495,0,0,0,3.082795067529598,36.71259744077321,23891.0
2025-06-06 08:42:09.999465414 +0000 UTC m=+61.075627274,1674981729,ts-route-plan-service-7cf64f4bd6-6k8mv,2.69112717316184,0.538225434632368,332.26171875,16.6130859375,0,0,859.4168636721828,15841.502495403203,0.00045,0,0.000475,0,0.000495,0,0,0,2.8680447817559185,36.685446364426966,21848.466666666667
2025-06-06 08:43:10.682879149 +0000 UTC m=+121.759041019,1674981790,ts-route-plan-service-7cf64f4bd6-6k8mv,2.126536876582471,0.4253073753164941,332.25,16.6125,0,0,907.4332101532682,17990.18598170473,0.00045,0,0.000475,0,0.000495,0,0,0,2.919830515577937,36.70415694444275,23063.366666666665
2025-06-06 08:44:10.018163368 +0000 UTC m=+181.094325243,1674981850,ts-route-plan-service-7cf64f4bd6-6k8mv,2.12878320164286,0.4257566403285719,332.63671875,16.6318359375,0,0,973.4722222222222,20666.388888888887,0.0044,0,0.0046999999999999,0,0.0049399999999999,0,0,0,3.290937329477528,36.75053088526414,26460.6
2025-06-06 08:45:10.424275109 +0000 UTC m=+241.500436970,1674981910,ts-route-plan-service-7cf64f4bd6-6k8mv,2.027840042521037,0.4055680085042075,332.765625,16.638281250000002,0,0,990.1657769036244,21142.73672379882,0.0038,0,0.0043999999999999,0,0.00488,0,0,0,3.238374528695287,36.69073997050705,29359.966666666667
2025-06-06 08:46:10.078323948 +0000 UTC m=+301.154485809,1674981970,ts-route-plan-service-7cf64f4bd6-6k8mv,1.4594681750001113,0.2918936350000222,332.765625,16.638281250000002,0,0,898.2236621606523,16570.048039325215,0.0038,0,0.0043999999999999,0,0.00488,0,0,0,3.098887255926275,36.71511007407389,28648.966666666667
2025-06-06 08:47:10.387910321 +0000 UTC m=+361.464072183,1674982030,ts-route-plan-service-7cf64f4bd6-6k8mv,2.6128522258513804,0.5225580785415876,333.0234375,16.651171875,0,0,936.2494183341088,19723.193511932463,0.00045,0,0.000475,0,0.000495,0,0,0,3.075309418925632,36.71891561577202,23501.466666666667
2025-06-06 08:48:10.421889204 +0000 UTC m=+421.498051069,1674982090,ts-route-plan-service-7cf64f4bd6-6k8mv,2.2690649934851246,0.4538129986970249,333.0234375,16.651171875,0,0,948.972275334608,17715.34416826004,0.0044,0,0.0046999999999999,0,0.0049399999999999,0,0,0,2.823697239239076,36.73618692040198,22145.3
2025-06-06 08:49:09.974931134 +0000 UTC m=+481.051092994,1674982149,ts-route-plan-service-7cf64f4bd6-6k8mv,2.546169969153528,0.5092339938307054,333.92578125,16.6962890625,0,0,989.1216760676874,21640.942055527063,0.0046,0,0.0047999999999999,0,0.00496,0,0,0,3.152511109250944,36.726477910172136,23953.166666666668
2025-06-06 08:50:10.62281319 +0000 UTC m=+541.698975064,1674982210,ts-route-plan-service-7cf64f4bd6-6k8mv,2.065182759561752,0.4130187829825575,333.31640625,16.6658203125,0,0,831.7698203866835,16987.415627502574,0.00045,0,0.0004749999999999,0,0.000495,0,0,0,3.3872725748267163,36.73167393825996,28954.066666666666
2025-06-06 08:51:10.110850795 +0000 UTC m=+601.187012656,1674982270,ts-route-plan-service-7cf64f4bd6-6k8mv,5.593197098816588,1.1186394197633176,333.3359375,16.666796875,0,0,1167.6814988290398,23390.47619047619,20.0,0,25.0,0,28.999999999999996,0,0,0,3.7476420037749314,36.82349482897627,27449.1
2025-06-06 08:52:10.424624869 +0000 UTC m=+661.500786730,1674982330,ts-route-plan-service-7cf64f4bd6-6k8mv,8.70567707114935,1.7411354142298698,337.83203125,16.8916015625,0,0,1220.9944751381215,19500.835153539767,20.0,0,25.0,0,28.999999999999996,0,0,0,2.8333962977034166,36.79588025716679,24771.866666666665
2025-06-06 08:53:10.06533843 +0000 UTC m=+721.141500291,1674982390,ts-route-plan-service-7cf64f4bd6-6k8mv,5.061391619295788,1.012235459921494,338.34375,16.9171875,0,0,1311.1047510017172,25681.024613623355,20.0,0,25.0,0,28.999999999999996,0,0,0,3.4462543444598426,36.80539411141211,24534.2
2025-06-06 08:54:10.432007778 +0000 UTC m=+781.508169639,1674982450,ts-route-plan-service-7cf64f4bd6-6k8mv,4.521993197742114,0.9043772478402164,338.2890625,16.914453125,0,0,1259.1676040494938,20596.512935883013,20.0,0,25.0,0,28.999999999999996,0,0,0,3.284120459690532,36.77987746643623,25284.666666666668
2025-06-06 08:55:10.54899368 +0000 UTC m=+841.625155540,1674982510,ts-route-plan-service-7cf64f4bd6-6k8mv,3.7652760847335314,0.7530228615699229,338.66796875,16.9333984375,0,0,1575.0404686656902,28160.641331997223,20.0,0,25.0,0,28.999999999999996,0,0,0,2.9836986129137544,36.76833886885152,23487.3
2025-06-06 08:56:10.184399814 +0000 UTC m=+901.260561674,1674982570,ts-route-plan-service-7cf64f4bd6-6k8mv,1.1953060499998005,0.23906120999996,339.15625,16.9578125,0,0,1255.67804489308,31413.86638331784,0.0044,0,0.0046999999999999,0,0.0049399999999999,0,0,0,3.7500524923361422,36.80300345060175,24614.63333333333
2025-06-06 08:57:10.55575348 +0000 UTC m=+961.631915358,1674982630,ts-route-plan-service-7cf64f4bd6-6k8mv,1.3399510762231923,0.2679796132649928,339.15625,16.9578125,0,0,433.25174166823575,509.0378459800414,0.00045,0,0.000475,0,0.000495,0,0,0,3.361027190335164,36.79273336691642,27088.666666666668
2025-06-06 08:58:10.096805091 +0000 UTC m=+1021.172966951,1674982690,ts-route-plan-service-7cf64f4bd6-6k8mv,1.8451885439119629,0.3690304498690769,338.54296875,16.9271484375,0,0,1314.103839267953,35065.74497712353,0.0046,0,0.0048,0,0.00496,0,0,0,3.0533070503039994,36.78480515504533,25436.33333333333
2025-06-06 08:59:10.51938332 +0000 UTC m=+1081.595545181,1674982750,ts-route-plan-service-7cf64f4bd6-6k8mv,1.4086928276278612,0.2817323912456851,338.54296875,16.9271484375,0,0,984.7815414825724,21853.031418753068,0.0046,0,0.0048,0,0.00496,0,0,0,2.8071500503534352,36.79780742251393,22944.13333333333
2025-06-06 09:00:10.474160647 +0000 UTC m=+1141.550322507,1674982810,ts-route-plan-service-7cf64f4bd6-6k8mv,1.612431132515371,0.3224862265030742,338.54296875,16.9271484375,0,0,1201.6293279022402,30029.701289884582,0.0044,0,0.0046999999999999,0,0.0049399999999999,0,0,0,3.170270837713129,36.77021724520252,29757.066666666666
2025-06-06 09:01:10.379896788 +0000 UTC m=+1201.456058647,1674982870,ts-route-plan-service-7cf64f4bd6-6k8mv,1.25769043959913,0.251531868118683,338.54296875,16.9271484375,0,0,949.9660018132366,20294.594288304623,0.0044,0,0.0046999999999999,0,0.0049399999999999,0,0,0,3.0920060331844024,36.74884766489766,24574.5
2025-06-06 09:02:10.249034931 +0000 UTC m=+1261.325196790,1674982930,ts-route-plan-service-7cf64f4bd6-6k8mv,1.5343370073594036,0.3068606572074996,338.54296875,16.9271484375,0,0,1439.1859663999153,37410.6205946261,0.0044666666666666,0,0.0047333333333333,0,0.0049466666666666,0,0,0,2.9071230808017767,36.78092642985301,25620.166666666668
2025-06-06 09:03:10.436925754 +0000 UTC m=+1321.513087616,1674982990,ts-route-plan-service-7cf64f4bd6-6k8mv,1.8676826118000889,0.3733606024907744,339.05859375,16.952929687500003,0,0,1032.7659288165244,24024.6249074884,0.19,0,0.2199999999999999,0,0.244,0,0,0,3.2444668008013933,36.77575479626325,28877.733333333334
2025-06-06 09:04:10.195598132 +0000 UTC m=+1381.271760009,1674983050,ts-route-plan-service-7cf64f4bd6-6k8mv,2.1946237051092305,0.4389155679951474,338.68359375,16.934179687500002,0,0,931.4855364757406,20616.630171718338,0.019,0,0.0219999999999999,0,0.0244,0,0,0,3.115957223732013,36.773022612479984,25215.2
2025-06-06 09:05:10.445839783 +0000 UTC m=+1441.522001643,1674983110,ts-route-plan-service-7cf64f4bd6-6k8mv,1.8582117986890472,0.3716278688502273,338.94140625,16.947070312500003,0,0,1281.1881188118812,30652.17391304348,0.0046,0,0.0047999999999999,0,0.00496,0,0,0,3.003444509780595,36.7879520452957,26071.066666666666
2025-06-06 09:06:10.182281229 +0000 UTC m=+1501.258443089,1674983170,ts-route-plan-service-7cf64f4bd6-6k8mv,1.7940037582926434,0.3588007516585286,339.0703125,16.953515625,0,0,543.0902111324376,693.2821497120922,0.0046,0,0.0047999999999999,0,0.00496,0,0,0,2.9858894675017345,36.79361156884677,25818.666666666668
2025-06-06 09:07:10.358160067 +0000 UTC m=+1561.434321934,1674983230,ts-route-plan-service-7cf64f4bd6-6k8mv,1.4009121268174267,0.2801762262258133,339.19921875,16.9599609375,0,0,1015.3106415285336,22583.892192838164,0.0044666666666666,0,0.0047333333333333,0,0.0049466666666666,0,0,0,3.2557163834637137,36.780170200413,26820.166666666668
2025-06-06 09:08:09.986806228 +0000 UTC m=+1621.062968088,1674983289,ts-route-plan-service-7cf64f4bd6-6k8mv,1.7089768408644148,0.3417807203754104,339.328125,16.96640625,0,0,1014.2324210790308,22491.77090190915,0.0038,0,0.0043999999999999,0,0.00488,0,0,0,3.098142791270597,36.815908140078086,24708.2
2025-06-06 09:09:10.159772662 +0000 UTC m=+1681.235934522,1674983350,ts-route-plan-service-7cf64f4bd6-6k8mv,1.2249341147113195,0.2449756770449507,339.328125,16.96640625,0,0,50192.81444076848,25808.11422601428,0.00045,0,0.000475,0,0.000495,0,0,0,2.9352566252933587,36.83298428872352,51719.0
2025-06-06 09:10:10.270645811 +0000 UTC m=+1741.346807672,1674983410,ts-route-plan-service-7cf64f4bd6-6k8mv,2.3452741424939063,0.4690548284987813,339.24609375,16.962304687499998,0,0,1403.8763467056467,38331.600887878296,0.0044,0,0.0046999999999999,0,0.0049399999999999,0,0,0,2.76669885385592,36.85996460358331,51007.66666666666
2025-06-06 09:11:10.449674109 +0000 UTC m=+1801.525835970,1674983470,ts-route-plan-service-7cf64f4bd6-6k8mv,1.8264163140047955,0.3652832628009591,339.24609375,16.962304687499998,0,0,964.8679804578142,20103.80413899105,0.0044,0,0.0046999999999999,0,0.0049399999999999,0,0,0,3.031830015956672,36.83256958225642,78697.4
2025-06-06 09:12:10.39319012 +0000 UTC m=+1861.469351980,1674983530,ts-route-plan-service-7cf64f4bd6-6k8mv,1.1644988389529216,0.2328947923895174,339.375,16.96875,0,0,1016.0952630201516,23273.848468987177,0.0038,0,0.0044,0,0.0048799999999999,0,0,0,2.9872036920507883,36.84110765657913,24273.1
2025-06-06 09:13:10.048295623 +0000 UTC m=+1921.124457484,1674983590,ts-route-plan-service-7cf64f4bd6-6k8mv,1.0518933749234376,0.2103688738607524,339.375,16.96875,0,0,961.6950790254676,24358.96197115053,0.0044,0,0.0046999999999999,0,0.0049399999999999,0,0,0,3.0329725648056027,36.85118258427994,25786.1
