Time,TimeStamp,PodName,CpuUsage(m),CpuUsageRate(%),MemoryUsage(Mi),MemoryUsageRate(%),SyscallRead,SyscallWrite,NetworkReceiveBytes,NetworkTransmitBytes,PodClientLatencyP90(s),PodServerLatencyP90(s),PodClientLatencyP95(s),PodServerLatencyP95(s),PodClientLatencyP99(s),PodServerLatencyP99(s),PodWorkload(Ops),PodSuccessRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%),NodeNetworkReceiveBytes
2025-06-06 08:41:10.426688658 +0000 UTC m=+1.502850556,1674981670,ts-seat-service-5c95b49cff-tdsdz,15.095305948725487,3.0189956857840263,421.015625,21.05078125,446.0,780.0,9091.009784013291,13060.734724016984,0.014125,0.0421428571428571,0.0205,0.0478571428571428,0.033,0.0840000000000001,1.9333333333333331,0,9.43356228285196,41.51602047674168,306092.4666666667
2025-06-06 08:42:10.077025621 +0000 UTC m=+61.153187482,1674981730,ts-seat-service-5c95b49cff-tdsdz,11.72061843474399,2.344123686948798,421.25,21.0625,770.0,1400.0,4059.598237163063,49211.1817156913,0.0079999999999999,0.045,0.0089999999999999,0.0475,0.0098,0.0495,0.1333333333333333,0,9.759000297457687,40.305199565290046,322612.4
2025-06-06 08:43:10.789667217 +0000 UTC m=+121.865829104,1674981790,ts-seat-service-5c95b49cff-tdsdz,18.9589318131421,3.79178636262842,421.25,21.0625,422.0,718.0,17514.283555018137,80258.53990326481,0.0226428571428571,0.0659999999999999,0.0465624999999999,0.0879999999999999,0.0886249999999999,0.184,2.8666666666666667,0,9.436595888351873,38.37530203437917,275193.5
2025-06-06 08:44:10.099385482 +0000 UTC m=+181.175547344,1674981850,ts-seat-service-5c95b49cff-tdsdz,41.33272616801645,8.26654523360329,420.2578125,21.012890625,624.0,1104.0,13999.153737658677,74656.06488011284,0.0168571428571428,0.0550000000000001,0.0230714285714285,0.09,0.0427499999999999,0.2080000000000002,1.6,0,15.355259208199625,42.8950658468489,2800283.9
2025-06-06 08:45:10.486309627 +0000 UTC m=+241.562471488,1674981910,ts-seat-service-5c95b49cff-tdsdz,13.881655774999755,2.7763311549999514,419.15234375,20.9576171875,642.0,1136.0,19017.117704597324,88338.76752526898,0.02125,0.0375,0.0362499999999999,0.0437499999999999,0.04725,0.04875,1.6666666666666663,0,10.25217906384336,42.26517551231496,330630.26666666666
2025-06-06 08:46:10.15067592 +0000 UTC m=+301.226837780,1674981970,ts-seat-service-5c95b49cff-tdsdz,29.637545999143725,5.927509199828744,418.1875,20.909375,492.0,868.0,25518.434966513923,79381.67077899189,0.0167499999999999,0.0441666666666666,0.0299999999999999,0.0491666666666666,0.1719999999999993,0.214,1.6,0,13.338183063516407,42.18986969678858,2513426.966666667
2025-06-06 08:47:10.445810602 +0000 UTC m=+361.521972463,1674982030,ts-seat-service-5c95b49cff-tdsdz,11.816369319242058,2.363223833352388,418.31640625,20.9158203125,536.0,948.0,6382.828701783493,62659.92406597964,0.0046,,0.0047999999999999,,0.00496,,0.0,0,8.99754881265572,41.97834500406778,239797.66666666663
2025-06-06 08:48:10.483766895 +0000 UTC m=+421.559928755,1674982090,ts-seat-service-5c95b49cff-tdsdz,3.628647049576593,0.7257136859156887,418.31640625,20.9158203125,72.0,50.0,1606.7051614423756,52200.50671694555,0.0046,,0.0047999999999999,,0.00496,,0.0,0,8.307302659163884,41.569907922967055,216775.7
2025-06-06 08:49:10.057287587 +0000 UTC m=+481.133449447,1674982150,ts-seat-service-5c95b49cff-tdsdz,10.373944765889092,2.0746863399107656,418.1953125,20.909765625,450.0,708.0,5703.20474777448,57338.51632047477,0.013,0.04,0.024,0.0449999999999999,21.200000000000067,0.049,1.0666666666666669,0,9.36307353052631,40.14841612622689,238616.1
2025-06-06 08:50:10.685305923 +0000 UTC m=+541.761467783,1674982210,ts-seat-service-5c95b49cff-tdsdz,33.579952546950686,6.715688870472134,418.3359375,20.916796875,868.0,1488.0,15476.149474771828,60485.27639056312,0.0093,0.1299999999999999,11.500000000000028,0.1899999999999998,26.30000000000002,0.238,0.6666666666666666,0,9.702474427848774,38.67618377351173,262373.76666666666
2025-06-06 08:51:10.190450248 +0000 UTC m=+601.266612110,1674982270,ts-seat-service-5c95b49cff-tdsdz,14.758170741526262,2.951497114755341,418.7109375,20.935546875,800.0,1282.0,11481.22498252748,65428.23559311264,0.0700000000000001,0.09,0.1900000000000004,0.1149999999999998,25.20000000000001,0.2229999999999999,1.3333333333333333,0,14.20955329153849,40.86034515775312,3875721.366666666
