Time,TimeStamp,PodName,CpuUsage(m),CpuUsageRate(%),MemoryUsage(Mi),MemoryUsageRate(%),SyscallRead,SyscallWrite,NetworkReceiveBytes,NetworkTransmitBytes,PodClientLatencyP90(s),PodServerLatencyP90(s),PodClientLatencyP95(s),PodServerLatencyP95(s),PodClientLatencyP99(s),PodServerLatencyP99(s),PodWorkload(Ops),PodSuccessRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%),NodeNetworkReceiveBytes
2025-06-06 11:39:53.926818238 +0000 UTC m=+1.103648538,1675078793,ts-gateway-service-6f6cfc45b-d9pnv,43.51195460556775,8.70239092111355,674.6015625,33.730078125,1860.0,2074.0,66340.31011999342,203585.6665388198,0.3166666666666666,0.3500000000000001,0.4083333333333331,0.4249999999999999,0.4816666666666667,0.485,1.3333333333333333,0,5.32923284346829,30.36846669602138,68906.5
2025-06-06 11:40:53.669693223 +0000 UTC m=+60.846523523,1675078853,ts-gateway-service-6f6cfc45b-d9pnv,45.24493649011763,9.048987298023526,674.71484375,33.7357421875,2186.0,2226.0,62079.49337555204,78437.96350304142,0.3583333333333334,0.3916666666666666,0.4291666666666666,0.4458333333333333,0.4858333333333333,0.4891666666666666,1.0,0,5.10264425104473,30.40078940595738,76183.86666666667
2025-06-06 11:41:53.707266339 +0000 UTC m=+120.884096647,1675078913,ts-gateway-service-6f6cfc45b-d9pnv,34.481023131451394,6.896661457161635,674.8125,33.740625,1906.0,1960.0,42682.09104552277,263991.0788727697,0.3583333333333334,0.41875,0.4708333333333332,0.490625,0.8649999999999998,0.8849999999999993,1.6,0,6.043956044152521,28.67778161313497,70672.13333333333
2025-06-06 11:42:54.081084421 +0000 UTC m=+181.257914737,1675078974,ts-gateway-service-6f6cfc45b-d9pnv,46.96667877247799,9.393335754495595,674.94140625,33.7470703125,2520.0,2318.0,39945.5214596724,184054.1675305826,0.38,0.4,0.4399999999999999,0.45,0.488,0.4899999999999999,1.2666666666666666,0,8.07379319144702,32.61493162832055,1912076.8
2025-06-06 11:43:53.816121222 +0000 UTC m=+240.992951529,1675079033,ts-gateway-service-6f6cfc45b-d9pnv,38.213891359299765,7.642482093716264,674.34375,33.7171875,1650.0,1882.0,40594.21896316508,272415.6718963165,0.3666666666666666,0.3950000000000001,0.4333333333333331,0.4474999999999999,0.4866666666666667,0.4895,1.5333333333333332,0,4.846056516268549,32.65430434819731,56913.7
2025-06-06 11:44:54.001924795 +0000 UTC m=+301.178755102,1675079094,ts-gateway-service-6f6cfc45b-d9pnv,55.5713580757824,11.11427161515648,674.45703125,33.7228515625,2788.0,2467.9999999999995,65221.68946551968,244822.23945846848,0.475,0.4687500000000001,1.6375,1.5624999999999982,2.3274999999999992,2.312500000000001,1.5333333333333332,0,9.873157353578833,32.218399062275495,2816827.7
2025-06-06 11:45:53.677037128 +0000 UTC m=+360.853867436,1675079153,ts-gateway-service-6f6cfc45b-d9pnv,48.8802284781962,9.77604569563924,674.4453125,33.722265625,3482.0,3080.0,74371.99249189466,370863.2614754565,2.6249999999999987,0.4666666666666667,3.812499999999997,3.4999999999999982,4.762500000000002,4.7,2.0666666666666664,0,5.697271729243203,30.62290131083835,76982.03333333334
2025-06-06 11:46:53.672728312 +0000 UTC m=+420.849558624,1675079213,ts-gateway-service-6f6cfc45b-d9pnv,52.1218941572679,10.42437883145358,674.43359375,33.7216796875,2464.0,2362.0,58531.80931376707,272931.1222325897,1.9750000000000003,1.6000000000000014,2.8750000000000004,2.4250000000000007,4.574999999999997,4.450000000000004,1.5333333333333332,0,7.368108314599874,30.606239868660023,1623172.9666666666
2025-06-06 11:47:54.003860141 +0000 UTC m=+481.180690446,1675079274,ts-gateway-service-6f6cfc45b-d9pnv,51.03199163834781,10.206398327669564,674.46875,33.7234375,2868.0,2700.0,57909.71327616033,245144.79737936615,0.4399999999999999,0.4600000000000001,0.4949999999999999,0.5499999999999996,0.8900000000000005,0.91,1.0666666666666669,0,5.256502128827467,30.606703364123256,64551.6
2025-06-06 11:48:54.337462114 +0000 UTC m=+541.514292453,1675079334,ts-gateway-service-6f6cfc45b-d9pnv,43.94241140831419,8.788482281662839,674.7265625,33.736328125,3118.0,2810.0,57759.94926272396,190077.63860261085,0.6500000000000002,0.5249999999999989,0.9499999999999996,0.8874999999999991,4.4,4.274999999999994,1.5333333333333332,0,5.42740269041807,30.605532428216144,59177.43333333333
2025-06-06 11:49:53.671599955 +0000 UTC m=+600.848430262,1675079393,ts-gateway-service-6f6cfc45b-d9pnv,32.78703545995304,6.557105107379401,674.44921875,33.7224609375,3042.0,2654.0,65955.3611994548,347409.0186278964,0.3375000000000003,0.4312500000000003,0.5499999999999993,0.6124999999999999,43.2,0.9225000000000004,1.9333333333333331,0,5.224761744240225,31.0804689110418,77503.83333333333
2025-06-06 11:50:53.774921811 +0000 UTC m=+660.951752127,1675079453,ts-gateway-service-6f6cfc45b-d9pnv,42.87974057623376,8.575948115246751,675.7421875,33.787109375,1750.0,1756.0,57870.95806587078,206881.51658767773,0.2875,0.4874999999999999,0.6624999999999988,0.7249999999999994,20.59999999999993,0.9450000000000002,1.2,0,5.235602094313685,31.142260174640214,58077.6
