Time,TimeStamp,PodName,CpuUsage(m),CpuUsageRate(%),MemoryUsage(Mi),MemoryUsageRate(%),SyscallRead,SyscallWrite,NetworkReceiveBytes,NetworkTransmitBytes,PodClientLatencyP90(s),PodServerLatencyP90(s),PodClientLatencyP95(s),PodServerLatencyP95(s),PodClientLatencyP99(s),PodServerLatencyP99(s),PodWorkload(Ops),PodSuccessRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%),NodeNetworkReceiveBytes
2025-06-06 11:39:54.056809591 +0000 UTC m=+1.233639893,1675078794,ts-order-other-service-6cdbf9b4cc-swvb5,7.690247497413956,1.5380067310381171,444.29296875,22.2146484375,0,0,41148.19944598338,98287.25761772854,0.0325,0.0134999999999999,0.0412499999999999,0.01925,0.04825,0.0238499999999999,0.6,0,3.323262839873053,48.335869952081936,71396.26666666666
2025-06-06 11:40:54.098477849 +0000 UTC m=+61.275308140,1675078854,ts-order-other-service-6cdbf9b4cc-swvb5,4.481342953147918,0.8961605192236741,444.06640625,22.2033203125,0,0,29631.306005719733,89288.57959961868,0.0145,0.0046,0.0197499999999999,0.0047999999999999,0.02395,0.00496,0.2666666666666666,0,2.7542194978557037,48.37582810092189,37107.3
2025-06-06 11:41:53.871809883 +0000 UTC m=+121.048640189,1675078913,ts-order-other-service-6cdbf9b4cc-swvb5,13.549657380664348,2.7099314761328697,443.859375,22.19296875,0,0,8085.338989964918,80302.60259443584,0.0145,0.0205,0.0197499999999999,0.02275,0.02395,0.0245499999999999,0.2,0,3.255033557043852,48.39634385377562,34788.566666666666
2025-06-06 11:42:54.230378698 +0000 UTC m=+181.407209022,1675078974,ts-order-other-service-6cdbf9b4cc-swvb5,3.036675412391243,0.6073350824782486,444.375,22.21875,0,0,10889.209111566814,109641.02421991908,0.0145,0.0145,0.0197499999999999,0.0197499999999999,0.02395,0.02395,0.4666666666666667,0,3.4035588383463766,48.384610111655945,68379.8
2025-06-06 11:43:54.018952048 +0000 UTC m=+241.195782332,1675079034,ts-order-other-service-6cdbf9b4cc-swvb5,2.436712979589833,0.4872794376185966,443.8359375,22.191796875,0,0,18243.76426819988,94316.47924241144,0.0043333333333333,0.0205,0.0046666666666666,0.02275,0.0049333333333333,0.0245499999999999,0.2666666666666666,0,2.779643936823817,48.37990197812353,29488.83333333333
2025-06-06 11:44:54.141231848 +0000 UTC m=+301.318062156,1675079094,ts-order-other-service-6cdbf9b4cc-swvb5,4.800740073224418,0.9601267832357632,444.3515625,22.217578125,0,0,17874.665581016634,85664.47597999303,0.0041999999999999,0.0093333333333333,0.0046,0.0096666666666666,0.00492,0.0099333333333333,0.2665422802692077,0,2.9220370292623588,48.35984972028077,36498.833333333336
2025-06-06 11:45:53.877072567 +0000 UTC m=+361.053902876,1675079153,ts-order-other-service-6cdbf9b4cc-swvb5,4.524857836146922,0.9049715672293844,442.8046875,22.140234375,0,0,12390.039215686274,90152.1568627451,0.0046,0.0093333333333333,0.0048,0.0096666666666666,0.00496,0.0099333333333333,0.2666666666666666,0,3.005659190928278,48.39324575554444,33725.433333333334
2025-06-06 11:46:53.82056987 +0000 UTC m=+420.997400194,1675079213,ts-order-other-service-6cdbf9b4cc-swvb5,7.806401149999687,1.561280229999937,442.8046875,22.140234375,0,0,40379.21452389774,108827.77571940226,0.0205,0.0096363636363636,0.02275,0.0114999999999999,0.0245499999999999,0.0222999999999999,1.2,0,3.0063822640340354,48.37485232195144,52563.66666666666
2025-06-06 11:47:54.206634638 +0000 UTC m=+481.383464947,1675079274,ts-order-other-service-6cdbf9b4cc-swvb5,7.841727137722824,1.5683454275445647,442.75390625,22.1376953125,0,0,19199.50351174619,121502.24025187698,0.0045333333333333,0.0093,0.0047666666666666,0.01225,0.0049533333333333,0.0224499999999999,1.0666666666666669,0,3.431660102225087,48.36053276556008,57679.333333333336
2025-06-06 11:48:54.48624295 +0000 UTC m=+541.663073240,1675079334,ts-order-other-service-6cdbf9b4cc-swvb5,4.266050410156614,0.8531897099058005,442.75390625,22.1376953125,0,0,14077.429983525535,79568.60437750058,0.0325,0.0167499999999999,0.0412499999999999,0.0208749999999999,0.04825,0.024175,1.0,0,2.9063418731506863,48.404418424756095,42442.833333333336
