Time,TimeStamp,PodName,CpuUsage(m),CpuUsageRate(%),MemoryUsage(Mi),MemoryUsageRate(%),SyscallRead,SyscallWrite,NetworkReceiveBytes,NetworkTransmitBytes,PodClientLatencyP90(s),PodServerLatencyP90(s),PodClientLatencyP95(s),PodServerLatencyP95(s),PodClientLatencyP99(s),PodServerLatencyP99(s),PodWorkload(Ops),PodSuccessRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%),NodeNetworkReceiveBytes
2025-06-06 11:39:54.342948481 +0000 UTC m=+1.519778784,1675078794,ts-seat-service-5c95b49cff-mxdsg,24.086064302463654,4.817212860492732,402.62109375,20.1310546875,763.9999999999999,1452.0000000000002,25049.90952955368,132419.22999597908,0.03,0.0883333333333333,0.0549999999999998,0.1225,0.0909999999999999,0.2244999999999998,1.2666666666666666,0,8.748095479986706,36.99342690249641,261771.2
2025-06-06 11:40:54.408117674 +0000 UTC m=+61.584947972,1675078854,ts-seat-service-5c95b49cff-mxdsg,12.993516108309583,2.5987032216619173,400.7890625,20.039453125,598.0,1130.0,5341.133352128559,88335.84719481251,0.0145,0.0425,0.02875,0.04625,0.0457499999999999,0.04925,0.4,0,8.182203390064336,36.96886164294505,222412.2333333333
2025-06-06 11:41:54.414944981 +0000 UTC m=+121.591775278,1675078914,ts-seat-service-5c95b49cff-mxdsg,9.246884928153706,1.849300506101671,401.8203125,20.091015625,150.0,236.0,9293.262970324173,90263.03885957097,0.0106,0.0455555555555555,0.0192999999999999,0.0491666666666666,0.0354999999999998,0.2109999999999997,1.4666666666666666,0,9.820022975698585,35.097828035864794,236028.63333333333
2025-06-06 11:42:54.586699728 +0000 UTC m=+181.763530033,1675078974,ts-seat-service-5c95b49cff-mxdsg,8.386059985246472,1.67717613134165,400.75390625,20.0376953125,186.0,294.0,13404.418828049951,88721.42170989433,0.034,0.049,0.047,0.0899999999999999,0.1719999999999993,0.2139999999999999,0.8666666666666667,0,8.302973820317394,44.24413037883436,240710.36666666667
2025-06-06 11:43:54.411600203 +0000 UTC m=+241.588430505,1675079034,ts-seat-service-5c95b49cff-mxdsg,4.40091237373872,0.8801425549121639,399.80078125,19.9900390625,160.0,260.0,3715.362219558144,135151.7953987555,0.025,0.2050000000000002,0.175,0.3375000000000002,0.4249999999999999,0.4674999999999998,0.8666666666666667,0,8.364327979520548,44.24739924157505,213868.6
2025-06-06 11:44:54.413250029 +0000 UTC m=+301.590080341,1675079094,ts-seat-service-5c95b49cff-mxdsg,5.209477394917496,1.041895478983499,399.8671875,19.993359375,54.0,54.0,2699.463113939153,94208.70948498708,0.0099285714285714,0.04625,0.020875,0.0675,0.0845,0.0934999999999999,0.7333333333333333,0,12.803910638570116,42.60857686157464,2400726.566666667
2025-06-06 11:45:54.554850989 +0000 UTC m=+361.731681297,1675079154,ts-seat-service-5c95b49cff-mxdsg,4.238323745295173,0.8476243876746791,398.91015625,19.9455078125,82.0,98.0,9138.914443422264,70956.41674333026,0.0474999999999999,0.075,0.0733333333333332,0.0875,0.0946666666666667,0.0975,0.8666666666666667,0,9.438516260093255,40.57546620935114,264636.56666666665
2025-06-06 11:46:54.326978481 +0000 UTC m=+421.503808786,1675079214,ts-seat-service-5c95b49cff-mxdsg,10.070624404108488,2.014072484914235,398.83984375,19.9419921875,252.0,438.0,3382.3610727121923,4710.717906183761,0.04875,0.3125,0.1187500000000003,0.4062499999999999,0.2237499999999999,0.48125,1.0,0,14.168960770618211,39.51289066263995,2674650.433333333
2025-06-06 11:47:54.633498969 +0000 UTC m=+481.810329282,1675079274,ts-seat-service-5c95b49cff-mxdsg,11.39466447487605,2.27893289497521,398.87109375,19.9435546875,248.0,438.0,13641.998341625207,89740.80983969044,0.0315624999999999,0.072,0.0407812499999999,0.0859999999999999,0.0481562499999999,0.0972,1.5333333333333332,0,9.974478944930445,37.14198939571169,258237.06666666668
2025-06-06 11:48:54.851530678 +0000 UTC m=+542.028360983,1675079334,ts-seat-service-5c95b49cff-mxdsg,17.27667818399876,3.4552578944689065,396.875,19.84375,758.0,1432.0000000000002,17941.668018822,108472.65941911406,0.0325,0.0716666666666666,0.0430357142857142,0.0941666666666666,0.1615,0.2094999999999998,1.9333333333333331,0,10.895090615500113,36.123128789532814,1081581.7333333334
