Time,TimeStamp,PodName,CpuUsage(m),CpuUsageRate(%),MemoryUsage(Mi),MemoryUsageRate(%),SyscallRead,SyscallWrite,NetworkReceiveBytes,NetworkTransmitBytes,PodClientLatencyP90(s),PodServerLatencyP90(s),PodClientLatencyP95(s),PodServerLatencyP95(s),PodClientLatencyP99(s),PodServerLatencyP99(s),PodWorkload(Ops),PodSuccessRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%),NodeNetworkReceiveBytes
2025-06-06 11:39:54.546460297 +0000 UTC m=+1.723290603,1675078794,ts-train-service-86f5f97bc9-tlpss,4.157004388250536,0.8314008776501075,465.00390625,23.2501953125,0,0,2231.71275646744,37257.95420755278,0.0425,0.0046,0.04625,0.0048,0.04925,0.0049599999999999,0.6666666666666666,0,3.0109871676529454,39.7639344422259,31247.866666666665
2025-06-06 11:40:54.574316984 +0000 UTC m=+61.751147285,1675078854,ts-train-service-86f5f97bc9-tlpss,5.166096322164391,1.033219264432878,465.87109375,23.2935546875,0,0,1722.7450412624871,35132.257130447375,0.0375,0.0046,0.04375,0.0047999999999999,0.0487499999999999,0.00496,0.2,0,2.706218007886574,39.719292510767126,26689.666666666668
2025-06-06 11:41:54.775772399 +0000 UTC m=+121.952602706,1675078914,ts-train-service-86f5f97bc9-tlpss,3.1508185129300528,0.6301637025860105,465.0703125,23.253515625,0,0,57660.47153083338,38501.34629276942,0.00452,0.0075,0.0047599999999999,0.00875,0.004952,0.0097499999999999,0.3333333333333333,0,2.8432237201289623,39.73673457688353,56208.066666666666
2025-06-06 11:42:54.797541507 +0000 UTC m=+181.974371812,1675078974,ts-train-service-86f5f97bc9-tlpss,2.558245349361565,0.5116490698723131,465.0703125,23.253515625,0,0,2255.923797528143,38886.4835078328,0.0205,0.0055,0.02275,0.0077499999999999,0.0245499999999999,0.00955,0.4666666666666667,0,3.043277504930908,39.73949115516486,32367.2
2025-06-06 11:43:54.65369256 +0000 UTC m=+241.830522868,1675079034,ts-train-service-86f5f97bc9-tlpss,1.8477615949105464,0.3695366051090576,465.0703125,23.253515625,0,0,1963.708069304737,42996.32206318961,0.0041999999999999,0.0046,0.0046,0.0047999999999999,0.00492,0.00496,0.3333333333333333,0,2.646725202710387,39.78915835322501,29042.2
2025-06-06 11:44:54.562331971 +0000 UTC m=+301.739162272,1675079094,ts-train-service-86f5f97bc9-tlpss,1.7473300866116304,0.3494660173223261,465.19921875,23.2599609375,0,0,1323.8650773522695,30305.478062389044,0.0175,0.0046,0.02125,0.0048,0.0242499999999999,0.00496,0.3333333333333333,0,2.6357760429778776,39.76017768952391,29364.33333333333
2025-06-06 11:45:54.715175697 +0000 UTC m=+361.892005997,1675079154,ts-train-service-86f5f97bc9-tlpss,7.126400064293141,1.4252800128586285,464.15625,23.2078125,0,0,2694.4307540660425,36645.91987608252,0.0205,0.2750000000000002,0.02275,0.3874999999999999,0.0245499999999999,0.4775,0.6,0,2.941917072353306,39.78188879280168,31476.666666666668
2025-06-06 11:46:54.624258349 +0000 UTC m=+421.801088665,1675079214,ts-train-service-86f5f97bc9-tlpss,7.184654434318538,1.4368624310227374,463.89453125,23.1947265625,0,0,2058.84221673138,35312.566184256975,0.0375,0.0046,0.04375,0.0048,0.0487499999999999,0.00496,0.4,0,2.880382373901058,39.80291685013362,28534.766666666663
2025-06-06 11:47:54.897714655 +0000 UTC m=+482.074544974,1675079274,ts-train-service-86f5f97bc9-tlpss,3.960270618952592,0.7920541237905183,463.1875,23.159375,0,0,3716.876044309673,61707.407636611184,0.016,0.0049599999999999,0.0204999999999999,0.0072499999999999,0.0241,0.00945,0.8666666666666667,0,2.786403692820083,39.793695729865085,32463.266666666663
2025-06-06 11:48:55.080428309 +0000 UTC m=+542.257258635,1675079335,ts-train-service-86f5f97bc9-tlpss,4.340233521782676,0.8680467043565352,463.1875,23.159375,0,0,2617.2890326374595,30965.657159658927,0.035,0.0046,0.0424999999999999,0.0048,0.0485,0.00496,0.8,0,2.690225374571431,39.75734792774838,31593.3
