Time,TimeStamp,PodName,CpuUsage(m),CpuUsageRate(%),MemoryUsage(Mi),MemoryUsageRate(%),SyscallRead,SyscallWrite,NetworkReceiveBytes,NetworkTransmitBytes,PodClientLatencyP90(s),PodServerLatencyP90(s),PodClientLatencyP95(s),PodServerLatencyP95(s),PodClientLatencyP99(s),PodServerLatencyP99(s),PodWorkload(Ops),PodSuccessRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%),NodeNetworkReceiveBytes
2025-06-06 08:41:09.212437679 +0000 UTC m=+0.288599540,1674981669,ts-admin-user-service-594b78f59c-jgkzt,1.958401050440843,0.3916802100881685,332.734375,16.63671875,0,0,846.1217970974238,20346.087077286295,0.04,0,0.0449999999999999,0,0.049,0,0,0,3.7304048956278257,36.10041751183438,47797.43333333333
2025-06-06 08:42:09.183629133 +0000 UTC m=+60.259790994,1674981729,ts-admin-user-service-594b78f59c-jgkzt,1.3395002692128617,0.2678884708537016,332.265625,16.61328125,0,0,900.1419469844519,19461.954907074243,0.0044666666666666,0,0.0047333333333333,0,0.0049466666666666,0,0,0,3.564845844511033,36.096026502182696,37174.566666666666
2025-06-06 08:43:09.325689672 +0000 UTC m=+120.401851532,1674981789,ts-admin-user-service-594b78f59c-jgkzt,3.0799409502544663,0.6159881900508933,332.125,16.60625,0,0,820.6965174129353,19451.608623548924,0.0044666666666666,0,0.0047333333333333,0,0.0049466666666666,0,0,0,3.832606507890768,36.10868724667839,59467.23333333333
2025-06-06 08:44:09.175783173 +0000 UTC m=+180.251945034,1674981849,ts-admin-user-service-594b78f59c-jgkzt,1.944334407388313,0.3888668814776626,332.8984375,16.644921874999998,0,0,850.2363337443486,15382.655158240856,0.019,0,0.0219999999999999,0,0.0244,0,0,0,4.004356203392112,36.140912378622126,54711.73333333333
2025-06-06 08:45:09.21397725 +0000 UTC m=+240.290139110,1674981909,ts-admin-user-service-594b78f59c-jgkzt,1.1386247332770327,0.2277196389074175,333.28515625,16.6642578125,0,0,916.4444444444443,21724.37037037037,0.0046,0,0.0047999999999999,0,0.00496,0,0,0,3.54401711193969,36.11956719281533,52256.0
2025-06-06 08:46:09.192979826 +0000 UTC m=+300.269141686,1674981969,ts-admin-user-service-594b78f59c-jgkzt,2.5844826842742203,0.516896536854844,332.51953125,16.6259765625,0,0,1010.1822842495015,21168.399316434065,0.019,0,0.0219999999999999,0,0.0244,0,0,0,3.564539126061772,36.13713123142207,70633.16666666667
2025-06-06 08:47:09.19848096 +0000 UTC m=+360.274642821,1674982029,ts-admin-user-service-594b78f59c-jgkzt,1.7396059336568006,0.3479211867313601,332.48046875,16.6240234375,0,0,851.2193848242728,15586.349156613922,0.0044666666666666,0,0.0047333333333333,0,0.0049466666666666,0,0,0,3.840509831874828,36.15925704116694,47303.066666666666
2025-06-06 08:48:09.45352917 +0000 UTC m=+420.529691030,1674982089,ts-admin-user-service-594b78f59c-jgkzt,1.6542929484852882,0.3308585896970576,333.25390625,16.662695312500002,0,0,931.1960877538544,20136.79277321198,0.0046,0,0.0047999999999999,0,0.00496,0,0,0,3.512379353752904,36.117176532004976,43819.96666666667
2025-06-06 08:49:09.187954745 +0000 UTC m=+480.264116606,1674982149,ts-admin-user-service-594b78f59c-jgkzt,2.107570544620385,0.421514108924077,333.078125,16.65390625,0,0,1043.761798524112,25444.310966191864,0.19,0,0.2199999999999999,0,0.244,0,0,0,3.987254203177792,36.14027812167244,57601.76666666667
2025-06-06 08:50:09.249045409 +0000 UTC m=+540.325207269,1674982209,ts-admin-user-service-594b78f59c-jgkzt,7.677417722703135,1.5354200797279325,336.7578125,16.837890625,0,0,1166.8072187552707,17214.81981222241,17.000000000000007,0,23.500000000000004,0,28.699999999999992,0,0,0,3.91433720295058,36.17333266655039,48063.43333333333
