Time,TimeStamp,PodName,CpuUsage(m),CpuUsageRate(%),MemoryUsage(Mi),MemoryUsageRate(%),SyscallRead,SyscallWrite,NetworkReceiveBytes,NetworkTransmitBytes,PodClientLatencyP90(s),PodServerLatencyP90(s),PodClientLatencyP95(s),PodServerLatencyP95(s),PodClientLatencyP99(s),PodServerLatencyP99(s),PodWorkload(Ops),PodSuccessRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%),NodeNetworkReceiveBytes
2025-06-06 08:41:09.939570151 +0000 UTC m=+1.015732027,1674981669,ts-food-delivery-service-76bcf4dcb9-5kb7h,2.0742321899056284,0.4148464379811256,407.46875,20.3734375,0,0,863.9574904897047,21726.70732443693,0.0038,0,0.0043999999999999,0,0.00488,0,0,0,3.7304048956278257,36.10041751183438,47797.43333333333
2025-06-06 08:42:09.562448229 +0000 UTC m=+60.638610092,1674981729,ts-food-delivery-service-76bcf4dcb9-5kb7h,1.5555968346390932,0.3111123997100663,407.85546875,20.3927734375,0,0,1242.3415225962997,36153.06844606208,0.0044,0,0.0046999999999999,0,0.0049399999999999,0,0,0,3.564845844511022,36.096026502182696,37174.566666666666
2025-06-06 08:43:10.191292109 +0000 UTC m=+121.267453976,1674981790,ts-food-delivery-service-76bcf4dcb9-5kb7h,4.235234868401739,0.8470469736803479,407.59765625,20.3798828125,0,0,909.7845601436264,20355.08303411131,0.0046,0,0.0048,0,0.00496,0,0,0,3.832606507890768,36.10868724667839,59467.23333333333
2025-06-06 08:44:09.554816121 +0000 UTC m=+180.630977982,1674981849,ts-food-delivery-service-76bcf4dcb9-5kb7h,1.7467239814789604,0.3493303828952228,407.85546875,20.3927734375,0,0,325.16900166552364,299.50034290193,0.0046,0,0.0048,0,0.00496,0,0,0,4.004356203392123,36.140912378622126,54711.73333333333
2025-06-06 08:45:09.610950967 +0000 UTC m=+240.687112828,1674981909,ts-food-delivery-service-76bcf4dcb9-5kb7h,2.332126218026786,0.4664252436053572,407.6484375,20.382421875,0,0,1360.593604868414,38283.830673143646,0.0046,0,0.0048,0,0.00496,0,0,0,3.54401711193969,36.11956719281533,52256.0
2025-06-06 08:46:09.596303777 +0000 UTC m=+300.672465648,1674981969,ts-food-delivery-service-76bcf4dcb9-5kb7h,1.821683916083882,0.3643367832167764,407.77734375,20.3888671875,0,0,1206.3088512241056,33742.655367231644,0.0046,0,0.0048,0,0.00496,0,0,0,3.564539126061772,36.13713123142207,70633.16666666667
2025-06-06 08:47:09.581827771 +0000 UTC m=+360.657989812,1674982029,ts-food-delivery-service-76bcf4dcb9-5kb7h,1.490774687865592,0.2981489905906894,407.62890625,20.3814453125,0,0,1310.1633757642578,35973.18833316628,0.0046,0,0.0048,0,0.00496,0,0,0,3.840509831874828,36.15925704116694,47303.066666666666
2025-06-06 08:48:09.922030665 +0000 UTC m=+420.998192526,1674982089,ts-food-delivery-service-76bcf4dcb9-5kb7h,1.8007852473322128,0.3601492035059065,407.765625,20.38828125,0,0,353.28735632183907,319.08045977011494,0.0046,0,0.0048,0,0.00496,0,0,0,3.512379353752904,36.117176532004976,43819.96666666667
2025-06-06 08:49:09.526845204 +0000 UTC m=+480.603007072,1674982149,ts-food-delivery-service-76bcf4dcb9-5kb7h,5.691036554289971,1.1382073108579942,411.28515625,20.5642578125,0,0,874.2932817195539,18527.479244129783,0.0046,0,0.0048,0,0.00496,0,0,0,3.987254203177792,36.14027812167244,57601.76666666667
2025-06-06 08:50:10.083749558 +0000 UTC m=+541.159911427,1674982210,ts-food-delivery-service-76bcf4dcb9-5kb7h,1.5645123129994534,0.3128897019434051,411.28515625,20.5642578125,0,0,787.9537537234312,18226.031201090525,0.0038,0,0.0043999999999999,0,0.00488,0,0,0,3.91433720295058,36.17333266655039,48063.43333333333
