Time,TimeStamp,PodName,CpuUsage(m),CpuUsageRate(%),MemoryUsage(Mi),MemoryUsageRate(%),SyscallRead,SyscallWrite,NetworkReceiveBytes,NetworkTransmitBytes,PodClientLatencyP90(s),PodServerLatencyP90(s),PodClientLatencyP95(s),PodServerLatencyP95(s),PodClientLatencyP99(s),PodServerLatencyP99(s),PodWorkload(Ops),PodSuccessRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%),NodeNetworkReceiveBytes
2025-06-06 08:41:10.075138822 +0000 UTC m=+1.151300685,1674981670,ts-news-service-7d4f5b99fd-ktwc6,0.0267073249999999,0.0053414649999999,1.453125,0.07265625,0,0,554.9511433464289,4913.669789463081,0,0,0,0,0,0,0,0,12.677050882445007,34.13775817002233,29656.033333333333
2025-06-06 08:42:09.704631199 +0000 UTC m=+60.780793059,1674981729,ts-news-service-7d4f5b99fd-ktwc6,0.032715245463807,0.0065430490927614,1.453125,0.07265625,0,0,418.2248815756669,3108.7010720518574,0,0,0,0,0,0,0,0,12.721684595220896,34.1151200758181,21352.233333333334
2025-06-06 08:43:10.384869399 +0000 UTC m=+121.461031260,1674981790,ts-news-service-7d4f5b99fd-ktwc6,0.0312480243161095,0.0062496048632219,1.453125,0.07265625,0,0,482.809661575725,3388.952432214224,0,0,0,0,0,0,0,0,12.90884941067575,34.08228508142274,57344.566666666666
2025-06-06 08:44:09.689897338 +0000 UTC m=+180.766059199,1674981849,ts-news-service-7d4f5b99fd-ktwc6,0.029333117157761,0.0058666234315522,1.453125,0.07265625,0,0,429.4675721914044,2685.312872621701,0,0,0,0,0,0,0,0,19.78462309043255,41.06103869333311,5059691.3
2025-06-06 08:45:10.155662437 +0000 UTC m=+241.231824297,1674981910,ts-news-service-7d4f5b99fd-ktwc6,0.0260646249999996,0.0052129249999999,1.453125,0.07265625,0,0,534.2129629629629,4538.61111111111,0,0,0,0,0,0,0,0,13.05864761576192,41.15693346522625,53869.0
2025-06-06 08:46:09.745434158 +0000 UTC m=+300.821596019,1674981969,ts-news-service-7d4f5b99fd-ktwc6,0.0285705894755869,0.0057141178951173,1.453125,0.07265625,0,0,432.6457518073888,3999.867347615573,0,0,0,0,0,0,0,0,30.88544735309357,41.17408279736588,12620825.9
2025-06-06 08:47:09.731090278 +0000 UTC m=+360.807252138,1674982029,ts-news-service-7d4f5b99fd-ktwc6,0.0172082500000003,0.00344165,1.453125,0.07265625,0,0,555.5967579594216,5145.997775070192,0,0,0,0,0,0,0,0,12.639667705273894,41.291883828521314,27675.533333333333
2025-06-06 08:48:10.101190937 +0000 UTC m=+421.177352797,1674982090,ts-news-service-7d4f5b99fd-ktwc6,0.0256721599005094,0.0051343027616146,1.453125,0.07265625,0,0,504.75630087280575,4769.049720506032,0,0,0,0,0,0,0,0,19.130579752185938,41.26446441269636,4120208.7666666666
2025-06-06 08:49:09.659759341 +0000 UTC m=+480.735921202,1674982149,ts-news-service-7d4f5b99fd-ktwc6,0.0314220300094839,0.0062842491397849,1.453125,0.07265625,0,0,472.5003851486674,3816.361115390541,0,0,0,0,0,0,0,0,12.982863781447628,41.2990558109524,37142.5
2025-06-06 08:50:10.291020811 +0000 UTC m=+541.367182672,1674982210,ts-news-service-7d4f5b99fd-ktwc6,0.0224359907457962,0.0044868832212273,1.453125,0.07265625,0,0,422.8691800799395,2750.243059306471,0,0,0,0,0,0,0,0,13.03824274395514,41.33132973189227,55401.1
