Time,TimeStamp,PodName,CpuUsage(m),CpuUsageRate(%),MemoryUsage(Mi),MemoryUsageRate(%),SyscallRead,SyscallWrite,NetworkReceiveBytes,NetworkTransmitBytes,PodClientLatencyP90(s),PodServerLatencyP90(s),PodClientLatencyP95(s),PodServerLatencyP95(s),PodClientLatencyP99(s),PodServerLatencyP99(s),PodWorkload(Ops),PodSuccessRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%),NodeNetworkReceiveBytes
2025-06-06 08:41:10.811952738 +0000 UTC m=+1.888114598,1674981670,ts-verification-code-service-7b6dc75c45-2z9p2,3.507090896411794,0.7013881732107452,374.03515625,18.7017578125,0,0,1795.7507082152974,47025.21246458923,0.0043333333333333,0.0095,0.0046666666666666,0.00975,0.0049333333333333,0.0099499999999999,0.0666666666666666,0,2.9567186713648552,49.73938163422974,31535.9
2025-06-06 08:42:10.799983358 +0000 UTC m=+61.876145231,1674981730,ts-verification-code-service-7b6dc75c45-2z9p2,3.792648186319455,0.7585126840396129,374.73046875,18.7365234375,0,0,1687.4208683994937,37278.1708497803,0.004,0.009,0.0045,0.0095,0.0049,0.0099,0.3999999999999999,0,3.1454728708193325,49.69727677165479,24572.0
2025-06-06 08:43:11.225075918 +0000 UTC m=+122.301237778,1674981791,ts-verification-code-service-7b6dc75c45-2z9p2,3.155429502060768,0.6310725283191462,374.62890625,18.7314453125,0,0,2063.94640682095,38625.22838002436,0.004,0.0085,0.0045,0.00925,0.0049,0.00985,0.2666666666666666,0,2.9421640225050782,49.70096033726824,27023.966666666667
2025-06-06 08:44:10.838998904 +0000 UTC m=+181.915160766,1674981850,ts-verification-code-service-7b6dc75c45-2z9p2,2.92980917253437,0.5859361372440954,374.66796875,18.7333984375,0,0,1387.6273728857395,27137.74375420266,0.016,0.009,0.0204999999999999,0.0095,0.0241,0.0099,0.1333333333333333,0,3.2435611949236165,49.719280587438455,44735.3
2025-06-06 08:45:10.833062275 +0000 UTC m=+241.909224135,1674981910,ts-verification-code-service-7b6dc75c45-2z9p2,2.027410790754582,0.4054713529290559,374.90234375,18.7451171875,0,0,1308.699415710885,27302.31551612205,0.0041999999999999,,0.0046,,0.00492,,0.0,0,2.890513402217665,49.73394166646948,31449.83333333333
2025-06-06 08:46:10.648141494 +0000 UTC m=+301.724303368,1674981970,ts-verification-code-service-7b6dc75c45-2z9p2,9.3580040269948,1.87160080539896,374.9140625,18.745703125,0,0,2206.1490683229813,34052.04968944099,0.0044,0.009,0.0046999999999999,0.0095,0.0049399999999999,0.0099,0.1333333333333333,0,3.3922498845500915,49.73694218680361,37007.03333333333
2025-06-06 08:47:10.75714439 +0000 UTC m=+361.833306269,1674982030,ts-verification-code-service-7b6dc75c45-2z9p2,5.004593323446913,1.0009186646893824,375.171875,18.75859375,0,0,2699.580609349945,63320.71049710128,0.0044666666666666,,0.0047333333333333,,0.0049466666666666,,0.1333333333333333,0,3.4746118338324306,49.75838492967927,25696.066666666666
2025-06-06 08:48:10.923858984 +0000 UTC m=+422.000020844,1674982090,ts-verification-code-service-7b6dc75c45-2z9p2,3.2415307734205654,0.648306154684113,375.1796875,18.758984375,0,0,1604.9543676662322,47459.30340845596,0.00045,,0.000475,,0.000495,,0.0,0,2.8787560412149804,49.75728717833751,24557.966666666667
2025-06-06 08:49:10.756376006 +0000 UTC m=+481.832537867,1674982150,ts-verification-code-service-7b6dc75c45-2z9p2,3.92318295294291,0.7845988672221672,375.56640625,18.7783203125,0,0,992.9598122616604,3683.093771389459,0.0033999999999999,,0.0041999999999999,,0.00484,,0.0,0,3.0603249233751018,49.80719827267607,33785.166666666664
2025-06-06 08:50:11.080819386 +0000 UTC m=+542.156981247,1674982211,ts-verification-code-service-7b6dc75c45-2z9p2,2.526586269572932,0.5053066452492022,375.43359375,18.7716796875,0,0,2014.6563252206472,54259.37416421503,0.0044666666666666,0.0085,0.0047333333333333,0.00925,0.0049466666666666,0.00985,0.5333333333333333,0,3.1762036803389404,49.789731829105,32994.86666666667
2025-06-06 08:51:10.751485944 +0000 UTC m=+601.827647827,1674982270,ts-verification-code-service-7b6dc75c45-2z9p2,2.1029101500001697,0.4205820300000339,375.8203125,18.791015625,0,0,1829.724162186605,50575.94332512687,0.0038,,0.0043999999999999,,0.00488,,0.0,0,3.1954650430518705,49.74262609930649,30805.6
2025-06-06 08:52:10.897986483 +0000 UTC m=+661.974148355,1674982330,ts-verification-code-service-7b6dc75c45-2z9p2,5.846586144649239,1.1693172289298477,375.65234375,18.7826171875,0,0,1989.2341570834355,41402.8219557948,156.00000000000017,,228.0,,285.6,,0.0,0,3.6912610758903286,49.772777669493415,42772.53333333333
2025-06-06 08:53:10.672012678 +0000 UTC m=+721.748174554,1674982390,ts-verification-code-service-7b6dc75c45-2z9p2,23.86421861987689,4.772516025681622,375.9921875,18.799609375,0,0,1467.294413057125,31549.215317011927,20.0,,25.0,,28.999999999999996,,0.0,0,3.453484956566355,49.83032423427575,28426.766666666663
2025-06-06 08:54:10.858797113 +0000 UTC m=+781.934958974,1674982450,ts-verification-code-service-7b6dc75c45-2z9p2,5.634998228363771,1.1269720006030426,375.43359375,18.7716796875,0,0,1994.0426622253535,33288.00204983665,18.999999999999996,0.0046,24.49999999999999,0.0047999999999999,28.9,0.00496,0.1333333333333333,0,3.1638655462155274,49.78804861038097,48473.26666666667
2025-06-06 08:55:11.080188995 +0000 UTC m=+842.156350857,1674982511,ts-verification-code-service-7b6dc75c45-2z9p2,6.120278221916094,1.224055644383219,375.625,18.78125,0,0,1983.2834157553807,36473.77585846625,22.0,,25.99999999999999,,29.200000000000003,,0.0,0,2.8823529411841853,49.77887628805873,32012.9
2025-06-06 08:56:10.995876121 +0000 UTC m=+902.072038023,1674982570,ts-verification-code-service-7b6dc75c45-2z9p2,3.68399262448897,0.7367840599521606,375.4921875,18.774609375,0,0,1820.2748059576247,27149.30774071743,0.016,0.009,0.0204999999999999,0.0095,0.0241,0.0099,0.1333333333333333,0,2.9043375924491244,49.79880657353019,29453.766666666663
2025-06-06 08:57:11.066740929 +0000 UTC m=+962.142902788,1674982631,ts-verification-code-service-7b6dc75c45-2z9p2,2.64106776037266,0.5281873493808098,376.65234375,18.8326171875,0,0,1302.4269200508384,31397.68807117352,0.0046,,0.0048,,0.00496,,0.1333333333333333,0,2.8796910418890875,49.8025145336179,34661.76666666667
2025-06-06 08:58:10.894771339 +0000 UTC m=+1021.970933199,1674982690,ts-verification-code-service-7b6dc75c45-2z9p2,2.960791698497697,0.5920752464174326,376.2734375,18.813671875,0,0,2515.318733114905,58674.82899350464,0.004,0.009,0.0045,0.0095,0.0049,0.0099,0.1333333333333333,0,3.4287392982844445,49.832666103804826,28980.93333333333
2025-06-06 08:59:10.980311007 +0000 UTC m=+1082.056472867,1674982750,ts-verification-code-service-7b6dc75c45-2z9p2,3.465962804886395,0.6931624640442737,375.75,18.7875,0,0,1670.704845814978,50778.934721666,0.00045,,0.000475,,0.000495,,0.0,0,2.7243724288362747,49.82605520128003,25339.666666666668
2025-06-06 09:00:11.273697257 +0000 UTC m=+1142.349859117,1674982811,ts-verification-code-service-7b6dc75c45-2z9p2,6.3680098666665685,1.2736019733333137,376.703125,18.83515625,0,0,1300.296275395034,34905.12133182844,0.04,0.009,0.0449999999999999,0.0095,0.049,0.0099,0.1333333333333333,0,3.0280122632422968,49.85230365558515,35600.26666666667
2025-06-06 09:01:10.941816479 +0000 UTC m=+1202.017978340,1674982870,ts-verification-code-service-7b6dc75c45-2z9p2,2.0216261554539283,0.4043143640317747,375.69140625,18.7845703125,0,0,1432.440895569125,39884.92249882574,0.0044666666666666,0.009,0.0047333333333333,0.0095,0.0049466666666666,0.0099,0.0,0,2.7773109244046856,49.85349898482395,37631.73333333333
2025-06-06 09:02:10.594969184 +0000 UTC m=+1261.671131044,1674982930,ts-verification-code-service-7b6dc75c45-2z9p2,5.910588980848943,1.1820902393705308,375.6875,18.784375,0,0,2089.2462015046467,37771.2789496976,0.0375,0.009,0.04375,0.0095,0.0487499999999999,0.0099,0.1333333333333333,0,2.8427461683881994,49.84444863487303,28741.233333333334
2025-06-06 09:03:10.848239768 +0000 UTC m=+1321.924401639,1674982990,ts-verification-code-service-7b6dc75c45-2z9p2,3.1980573607929514,0.6396114721585903,375.94140625,18.7970703125,0,0,1771.6511836979323,51510.738187993215,0.019,0.009,0.0219999999999999,0.0095,0.0244,0.0099,0.1333333333333333,0,2.7728762288800834,49.83483721201408,40909.3
2025-06-06 09:04:10.995505395 +0000 UTC m=+1382.071667256,1674983050,ts-verification-code-service-7b6dc75c45-2z9p2,3.03282185377962,0.6065507920459156,377.09765625,18.8548828125,0,0,1344.4761516510396,35172.03424378312,0.0033999999999999,0.0046,0.0041999999999999,0.0047999999999999,0.00484,0.00496,0.1333333333333333,0,3.089062368851325,49.837788943399694,29060.8
2025-06-06 09:05:10.957850504 +0000 UTC m=+1442.034012365,1674983110,ts-verification-code-service-7b6dc75c45-2z9p2,2.1659540307484764,0.4331818463464729,376.2109375,18.810546875,0,0,1281.25,34444.77831196581,0.0033999999999999,0.0079999999999999,0.0041999999999999,0.0089999999999999,0.00484,0.0098,0.2666666666666666,0,3.368668035349432,49.86786733016384,41532.46666666667
2025-06-06 09:06:10.674232568 +0000 UTC m=+1501.750394428,1674983170,ts-verification-code-service-7b6dc75c45-2z9p2,1.6315434750001856,0.3263086950000371,378.3828125,18.919140625,0,0,50838.264299802766,36523.03051398074,0.0038,,0.0043999999999999,,0.00488,,0.0,0,2.7806947536497373,49.839984446083214,54536.66666666666
2025-06-06 09:07:10.783994158 +0000 UTC m=+1561.860156019,1674983230,ts-verification-code-service-7b6dc75c45-2z9p2,3.193439700116562,0.6386610192785196,379.0,18.95,0,0,1370.7259259259258,29618.37037037037,0.0044,,0.0046999999999999,,0.0049399999999999,,0.0,0,3.036539269225069,49.88860263328591,34036.9
2025-06-06 09:08:10.650754282 +0000 UTC m=+1621.726916142,1674983290,ts-verification-code-service-7b6dc75c45-2z9p2,8.197971474273828,1.6395237572252506,379.109375,18.95546875,0,0,2026.8235294117649,39885.882352941175,0.019,0.009,0.0219999999999999,0.0095,0.0244,0.0099,0.2666666666666666,0,3.216472364336831,49.82810433711797,41525.63333333333
2025-06-06 09:09:10.877835634 +0000 UTC m=+1681.953997494,1674983350,ts-verification-code-service-7b6dc75c45-2z9p2,3.1537115682408494,0.6307011603871663,378.99609375,18.9498046875,0,0,1804.2851704823536,29231.986513676657,0.04,,0.0449999999999999,,0.049,,0.0,0,2.7710032797894857,49.85637753278678,22705.93333333333
2025-06-06 09:10:10.845477826 +0000 UTC m=+1741.921639687,1674983410,ts-verification-code-service-7b6dc75c45-2z9p2,1.8398705159399091,0.3679564896081437,378.52734375,18.9263671875,0,0,1982.032494424976,34142.59318254221,0.0046,0.0046,0.0047999999999999,0.0047999999999999,0.00496,0.00496,0.2666666666666666,0,3.2149752371067986,49.85093756502652,97521.4
2025-06-06 09:11:10.986200166 +0000 UTC m=+1802.062362027,1674983470,ts-verification-code-service-7b6dc75c45-2z9p2,3.784092080727086,0.7567880007606166,377.76953125,18.8884765625,0,0,1551.1234013135154,36271.27549256827,0.00045,0.0095,0.000475,0.00975,0.000495,0.0099499999999999,0.0666666666666666,0,2.848154362441102,49.84149690348741,28869.566666666666
2025-06-06 09:12:10.771981091 +0000 UTC m=+1861.848142953,1674983530,ts-verification-code-service-7b6dc75c45-2z9p2,4.043497575342798,0.8086818459144363,378.5,18.925,0,0,1230.4036212749904,36793.73821199547,0.00045,,0.000475,,0.000495,,0.0,0,2.773698124305801,49.86545227721197,26253.8
2025-06-06 09:13:10.795271223 +0000 UTC m=+1921.871433084,1674983590,ts-verification-code-service-7b6dc75c45-2z9p2,4.999480324103488,0.9998960648206976,377.9609375,18.898046875,0,0,1165.8562000694683,29077.515340974875,0.0044,,0.0046999999999999,,0.0049399999999999,,0.0,0,3.093259464447629,49.850083758427374,56830.66666666666
2025-06-06 09:14:10.866578027 +0000 UTC m=+1981.942739887,1674983650,ts-verification-code-service-7b6dc75c45-2z9p2,2.731335610175779,0.546242606513018,378.734375,18.93671875,0,0,1372.033721898418,27431.93172356369,0.019,0.019,0.0219999999999999,0.0219999999999999,0.0244,0.0244,0.1333333333333333,0,3.328715946786853,49.90409312444182,29226.566666666666
2025-06-06 09:15:10.886241841 +0000 UTC m=+2041.962403718,1674983710,ts-verification-code-service-7b6dc75c45-2z9p2,2.8045817744583434,0.5608896918841515,378.65625,18.9328125,0,0,1895.4154727793696,28666.023804275952,0.035,0.0046,0.0424999999999999,0.0048,0.0485,0.00496,0.2666666666666666,0,2.9971036393320327,49.858548640996034,29928.266666666663
2025-06-06 09:16:10.89015306 +0000 UTC m=+2101.966314928,1674983770,ts-verification-code-service-7b6dc75c45-2z9p2,2.48501168908532,0.496980400072831,378.1875,18.909375,0,0,991.1558093697882,26436.852478900288,0.0033999999999999,0.0093333333333333,0.0041999999999999,0.0096666666666666,0.00484,0.0099333333333333,0.4,0,3.058142461615432,49.89116405308335,42308.16666666666
2025-06-06 09:17:10.751505978 +0000 UTC m=+2161.827667838,1674983830,ts-verification-code-service-7b6dc75c45-2z9p2,3.5915292546984734,0.7183058509396946,378.1875,18.909375,0,0,1418.26124945391,42624.81432940148,0.0044,,0.0046999999999999,,0.0049399999999999,,0.0,0,2.762152632023651,49.88616318585979,27460.533333333333
2025-06-06 09:18:10.841719005 +0000 UTC m=+2221.917880874,1674983890,ts-verification-code-service-7b6dc75c45-2z9p2,3.631409535182697,0.7262649522921732,379.34765625,18.9673828125,0,0,2310.2099991213427,45264.03655214832,18.999999999999996,0.009,24.49999999999999,0.0095,28.9,0.0099,0.0,0,2.821158690179082,49.9132410522898,28349.866666666665
2025-06-06 09:19:10.965264552 +0000 UTC m=+2282.041426412,1674983950,ts-verification-code-service-7b6dc75c45-2z9p2,6.507875134128004,1.3015443283963588,377.71484375,18.8857421875,0,0,1808.748234463277,44579.49329096045,18.999999999999996,0.0046,24.49999999999999,0.0047999999999999,28.9,0.00496,0.1333333333333333,0,2.784895198899106,49.89392062867488,29164.3
2025-06-06 09:20:11.136420113 +0000 UTC m=+2342.212581973,1674984011,ts-verification-code-service-7b6dc75c45-2z9p2,3.941954550744284,0.7883752753825153,378.03515625,18.9017578125,0,0,2593.303084257079,58919.64849807593,18.000000000000004,0.0046,23.999999999999996,0.0047999999999999,28.8,0.00496,0.4,0,2.9575869446766823,49.941050752947646,27588.83333333333
