Time,TimeStamp,PodName,CpuUsage(m),CpuUsageRate(%),MemoryUsage(Mi),MemoryUsageRate(%),SyscallRead,SyscallWrite,NetworkReceiveBytes,NetworkTransmitBytes,PodClientLatencyP90(s),PodServerLatencyP90(s),PodClientLatencyP95(s),PodServerLatencyP95(s),PodClientLatencyP99(s),PodServerLatencyP99(s),PodWorkload(Ops),PodSuccessRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%),NodeNetworkReceiveBytes
2025-06-06 11:39:53.2587064 +0000 UTC m=+0.435536703,1675078793,ts-basic-service-5dc8d4f9fd-llznp,6.900694388458763,1.3801109011475683,403.75390625,20.1876953125,0,0,11269.357171026686,75613.9082424083,0.0214999999999999,0.0833333333333333,0.0262499999999999,0.0916666666666666,7.0999999999999766,0.0983333333333333,0.6666666666666667,0,3.0109871676529454,39.7639344422259,31247.866666666665
2025-06-06 11:40:53.269698126 +0000 UTC m=+60.446528433,1675078853,ts-basic-service-5dc8d4f9fd-llznp,6.022339742323207,1.204396794189323,403.93359375,20.1966796875,0,0,5324.402238426318,89375.78429710021,0.01975,0.0925,0.0242499999999999,0.09625,8.8,0.09925,0.2,0,2.706218007886574,39.719292510767126,26689.666666666668
2025-06-06 11:41:53.277376635 +0000 UTC m=+120.454206938,1675078913,ts-basic-service-5dc8d4f9fd-llznp,3.895912854664769,0.7791645947401546,406.24609375,20.3123046875,0,0,4592.242595204513,73104.65444287729,0.0245714285714285,0.4375,0.2049999999999999,0.46875,23.60000000000006,0.49375,0.3333333333333333,0,2.8432237201289623,39.73673457688353,56208.066666666666
2025-06-06 11:42:53.642113817 +0000 UTC m=+180.818944116,1675078973,ts-basic-service-5dc8d4f9fd-llznp,8.746631270167098,1.7493262540334196,406.40625,20.3203125,0,0,6791.6951236169925,74065.29162682693,0.0204999999999999,0.08875,0.0241136363636363,0.094375,19.39999999999993,0.098875,0.3999999999999999,0,3.043277504930908,39.73949115516486,32367.2
2025-06-06 11:43:53.480714839 +0000 UTC m=+240.657545153,1675079033,ts-basic-service-5dc8d4f9fd-llznp,2.449345400000169,0.4898690800000338,406.2265625,20.311328125,0,0,5782.2529530394695,62115.355805243446,0.0425,0.4375,0.2012500000000003,0.46875,23.4,0.49375,0.3332666799973338,0,2.646725202710387,39.78915835322501,29042.2
2025-06-06 11:44:53.258346553 +0000 UTC m=+300.435176862,1675079093,ts-basic-service-5dc8d4f9fd-llznp,2.6626733982198827,0.5325130517842483,406.01171875,20.3005859375,0,0,3143.1188458896268,59314.517975727045,0.022375,0.0875,0.0325,0.09375,23.19999999999997,0.09875,0.3333333333333333,0,2.6357760429778776,39.76017768952391,29364.33333333333
2025-06-06 11:45:53.25980469 +0000 UTC m=+360.436634998,1675079153,ts-basic-service-5dc8d4f9fd-llznp,5.510202018744955,1.1020404037489913,407.4296875,20.371484375,0,0,3370.589717741936,64613.72227822581,0.0244545454545454,0.44375,0.2149999999999998,0.471875,19.19999999999995,0.494375,0.6000000000000001,0,2.941917072353306,39.78188879280168,31476.666666666668
2025-06-06 11:46:53.260837994 +0000 UTC m=+420.437668320,1675079213,ts-basic-service-5dc8d4f9fd-llznp,4.375111349999372,0.8750222699998745,407.0234375,20.351171875,0,0,7113.009412916916,113543.22868491212,0.0241428571428571,0.095,0.0387499999999999,0.0975,22.400000000000063,0.0995,0.4,0,2.880382373901058,39.80291685013362,28534.766666666663
2025-06-06 11:47:53.580036912 +0000 UTC m=+480.756867223,1675079273,ts-basic-service-5dc8d4f9fd-llznp,7.785117307635575,1.557023461527115,407.29296875,20.3646484375,0,0,4871.2320749195205,6163.593795727246,0.0240833333333333,0.0978571428571428,0.0403124999999999,0.3374999999999999,15.799999999999915,0.4674999999999998,0.8,0,2.786403692820083,39.793695729865085,32463.266666666663
2025-06-06 11:48:53.422695297 +0000 UTC m=+540.599525609,1675079333,ts-basic-service-5dc8d4f9fd-llznp,7.50041717947483,1.5000834358949662,407.13671875,20.3568359375,0,0,8243.217835079238,74495.76954069299,0.0308333333333333,0.0983333333333333,0.0424999999999999,0.3499999999999998,0.3599999999999999,0.47,0.8,0,2.690225374571431,39.75734792774838,31593.3
