Time,TimeStamp,PodName,CpuUsage(m),CpuUsageRate(%),MemoryUsage(Mi),MemoryUsageRate(%),SyscallRead,SyscallWrite,NetworkReceiveBytes,NetworkTransmitBytes,PodClientLatencyP90(s),PodServerLatencyP90(s),PodClientLatencyP95(s),PodServerLatencyP95(s),PodClientLatencyP99(s),PodServerLatencyP99(s),PodWorkload(Ops),PodSuccessRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%),NodeNetworkReceiveBytes
2025-06-06 11:39:53.794540088 +0000 UTC m=+0.971370393,1675078793,ts-execute-service-775f544d9-tmwcv,2.6356079616954964,0.5271215923390993,411.53125,20.5765625,0,0,2416.927182615326,55102.70682424704,84.00000000000016,0.0475,191.9999999999999,0.04875,278.4,0.04975,0.0,0,3.0109871676529454,39.7639344422259,31247.866666666665
2025-06-06 11:40:53.517622145 +0000 UTC m=+60.694452449,1675078853,ts-execute-service-775f544d9-tmwcv,2.6107036963957246,0.522140739279145,411.53125,20.5765625,0,0,1582.3580677290836,44973.16982071713,156.00000000000006,,227.99999999999991,,285.6,,0.0666666666666666,0,2.706218007886574,39.719292510767126,26689.666666666668
2025-06-06 11:41:53.518418661 +0000 UTC m=+120.695248967,1675078913,ts-execute-service-775f544d9-tmwcv,1.3084351174346671,0.2616761250831067,411.7890625,20.589453125,0,0,2778.5831337451154,46498.361275683856,0.01,0.0475,180.0,0.04875,275.9999999999999,0.04975,0.0666666666666666,0,2.8432237201289623,39.73673457688353,56208.066666666666
2025-06-06 11:42:53.895056783 +0000 UTC m=+181.071887086,1675078973,ts-execute-service-775f544d9-tmwcv,2.613473090942367,0.5226946181884734,412.03125,20.6015625,0,0,2140.508319140574,47955.456570155904,0.0043,,0.00465,,0.0049299999999999,,0.0,0,3.043277504930908,39.73949115516486,32367.2
2025-06-06 11:43:53.668932855 +0000 UTC m=+240.845763162,1675079033,ts-execute-service-775f544d9-tmwcv,5.526730387626786,1.1053227998941406,413.0546875,20.652734375,0,0,2098.8441909336534,54012.83398378865,107.99999999999991,0.0235,203.99999999999977,0.02425,280.8000000000001,0.02485,0.0,0,2.646725202710387,39.78915835322501,29042.2
2025-06-06 11:44:53.529668732 +0000 UTC m=+300.706499042,1675079093,ts-execute-service-775f544d9-tmwcv,2.876024761678006,0.5751826650566897,412.4453125,20.622265625,0,0,1613.0087684858004,46789.22915848711,156.00000000000006,,227.99999999999991,,285.6,,0.0666666666666666,0,2.6357760429778776,39.76017768952391,29364.33333333333
2025-06-06 11:45:53.523666981 +0000 UTC m=+360.700497289,1675079153,ts-execute-service-775f544d9-tmwcv,2.875611273818566,0.5750992687220767,412.4453125,20.622265625,0,0,2903.4327009936765,66224.29990966576,0.01675,0.0425,0.0208749999999999,0.04625,0.024175,0.04925,0.2,0,2.941917072353306,39.78188879280168,31476.666666666668
2025-06-06 11:46:53.523692586 +0000 UTC m=+420.700522896,1675079213,ts-execute-service-775f544d9-tmwcv,2.166966581401212,0.4333933162802424,413.34765625,20.6673828125,0,0,1930.9324124321656,45522.13862851504,0.065,0.095,0.0824999999999999,0.0975,0.0965,0.0995,0.0666666666666666,0,2.880382373901058,39.80291685013362,28534.766666666663
2025-06-06 11:47:53.857758089 +0000 UTC m=+481.034588396,1675079273,ts-execute-service-775f544d9-tmwcv,2.174709260538413,0.4349333469334577,412.59765625,20.6298828125,0,0,2211.021505376344,54038.08243727599,0.0145,0.0235,0.0197499999999999,0.02425,0.02395,0.02485,0.1333333333333333,0,2.786403692820083,39.793695729865085,32463.266666666663
2025-06-06 11:48:53.832190368 +0000 UTC m=+541.009020706,1675079333,ts-execute-service-775f544d9-tmwcv,2.189587776333549,0.4378989097658788,412.59765625,20.6298828125,0,0,2330.209631114241,40170.575808461086,0.01825,0.0475,0.021625,0.04875,0.024325,0.04975,0.0666666666666666,0,2.690225374571431,39.75734792774838,31593.3
2025-06-06 11:49:53.526817052 +0000 UTC m=+600.703647378,1675079393,ts-execute-service-775f544d9-tmwcv,6.830570401922587,1.366114080384517,413.08984375,20.6544921875,0,0,2467.9897567221515,2521.4925919151274,0.0195,0.04625,0.0222499999999999,0.048125,0.02445,0.049625,0.2666666666666666,0,2.811228129071897,39.821603035651336,33109.46666666667
2025-06-06 11:50:53.62167075 +0000 UTC m=+660.798501347,1675079453,ts-execute-service-775f544d9-tmwcv,4.869063803574081,0.9737901682858784,412.0234375,20.601171875,0,0,2855.049528163648,43436.84426469726,0.0225,0.085,0.0312499999999999,0.0925,0.04625,0.0985,0.2,0,2.650339679605962,39.78396232513719,33132.36666666667
2025-06-06 11:51:53.771452376 +0000 UTC m=+720.948282689,1675079513,ts-execute-service-775f544d9-tmwcv,1.937068784011258,0.387397070430222,412.0234375,20.601171875,0,0,2363.9570219231605,77420.44714564792,0.0046,,0.0048,,0.0049599999999999,,0.0,0,2.636993491499684,39.777278232667406,31810.733333333334
2025-06-06 11:52:53.518694998 +0000 UTC m=+780.695525305,1675079573,ts-execute-service-775f544d9-tmwcv,1.9448380068240485,0.3889512803040049,412.15234375,20.6076171875,0,0,2244.097782559321,43793.67640906102,0.00825,0.0475,0.0091249999999999,0.04875,0.0098249999999999,0.04975,0.0666666666666666,0,2.781395739678449,39.73417315458671,31991.43333333333
2025-06-06 11:53:53.570141067 +0000 UTC m=+840.746971374,1675079633,ts-execute-service-775f544d9-tmwcv,3.215494429562749,0.6430988859125497,412.15234375,20.6076171875,0,0,2768.069809560397,41309.64271993853,0.0089166666666666,0.04,0.0094583333333333,0.0449999999999999,0.0098916666666666,0.049,0.2666666666666666,0,2.71903323261361,39.733856026111866,30215.4
2025-06-06 11:54:53.787410813 +0000 UTC m=+900.964241120,1675079693,ts-execute-service-775f544d9-tmwcv,2.20711112116347,0.4414222242326941,412.2578125,20.612890625,0,0,1614.2503172780564,43327.00791684293,0.0046,,0.0048,,0.0049599999999999,,0.0,0,3.1436246117710898,39.763470946762666,32398.81349153446
2025-06-06 11:55:53.832669577 +0000 UTC m=+961.009499886,1675079753,ts-execute-service-775f544d9-tmwcv,4.438594081531983,0.8877188163063966,412.2578125,20.612890625,0,0,1766.6084813635896,37619.98151760961,0.0275,0.0235,0.03875,0.02425,0.04775,0.02485,0.1333333333333333,0,2.569269521404993,39.78184000380554,27743.4
2025-06-06 11:56:53.54666721 +0000 UTC m=+1020.723497514,1675079813,ts-execute-service-775f544d9-tmwcv,4.111488685096497,0.822263398962559,412.7734375,20.638671875,0,0,3942.465497948527,69432.39462886982,0.0145,0.04,22.99999999999997,0.0449999999999999,1475.9999999999995,0.049,0.2666666666666666,0,2.915390746254487,39.77657079222352,33546.333333333336
2025-06-06 11:57:53.463119625 +0000 UTC m=+1080.639949933,1675079873,ts-execute-service-775f544d9-tmwcv,9.351055110190888,1.8702110220381776,413.15234375,20.6576171875,0,0,1973.9062193447128,47445.36001569551,15.0,,22.499999999999996,,28.5,,0.0,0,2.8723582690458715,39.76642268102852,34797.26666666667
2025-06-06 11:58:53.813725798 +0000 UTC m=+1140.990556100,1675079933,ts-execute-service-775f544d9-tmwcv,3.342954127512054,0.6685629476109118,412.98046875,20.6490234375,0,0,3683.192416090187,84684.857801691,0.0204999999999999,0.45,16.999999999999996,0.4749999999999999,27.399999999999984,0.495,0.1333333333333333,0,2.866736621204269,39.75525000091479,32676.8
2025-06-06 11:59:53.711270254 +0000 UTC m=+1200.888100564,1675079993,ts-execute-service-775f544d9-tmwcv,4.926563923768304,0.985312784753661,413.66796875,20.6833984375,0,0,3501.9910403185663,61012.69288203086,0.019,0.045,6.499999999999993,0.0475,9.300000000000002,0.0495,0.1333333333333333,0,8.204353844208978,39.83794734935483,31576.166666666668
2025-06-06 12:00:53.457832954 +0000 UTC m=+1260.634663273,1675080053,ts-execute-service-775f544d9-tmwcv,6.22834416502634,1.245668833005268,414.91796875,20.7458984375,0,0,3098.0542754736302,47534.94623655914,0.0483333333333333,0.09,6.9999999999999964,0.095,9.4,0.099,0.1333333333333333,0,8.923025266507768,39.82001739327712,30947.93333333333
2025-06-06 12:01:53.595977809 +0000 UTC m=+1320.772808112,1675080113,ts-execute-service-775f544d9-tmwcv,1.033996750000199,0.2067993500000398,414.74609375,20.7373046875,0,0,1291.028604449581,13808.581334874314,0.0038,,0.0043999999999999,,0.00488,,0.1333333333333333,0,9.109947643991678,39.78530402253076,31591.5
2025-06-06 12:02:53.830238489 +0000 UTC m=+1381.007068793,1675080173,ts-execute-service-775f544d9-tmwcv,1.9739549196140087,0.3947909839228017,414.74609375,20.7373046875,0,0,1411.8495506490624,39910.51814046378,0.0044,,0.0047,,0.0049399999999999,,0.0,0,8.714249769354321,39.813796796270566,59565.23333333333
2025-06-06 12:03:53.701365163 +0000 UTC m=+1440.878195464,1675080233,ts-execute-service-775f544d9-tmwcv,1.4356011666668185,0.2871202333333637,414.74609375,20.7373046875,0,0,1997.8220807505445,40800.74831071648,0.0045428571428571,0.0235,0.0047714285714285,0.02425,0.0049542857142857,0.02485,0.0666666666666666,0,2.7323092420099004,39.7986234184742,32223.266666666663
2025-06-06 12:04:53.557235092 +0000 UTC m=+1500.734065393,1675080293,ts-execute-service-775f544d9-tmwcv,2.8805768503936062,0.5761153700787213,414.74609375,20.7373046875,0,0,2036.45443196005,51545.31835205993,0.00452,,0.0047599999999999,,0.004952,,0.0666666666666666,0,3.405130788929489,39.760958313461984,40111.16666666666
2025-06-06 12:05:53.413580249 +0000 UTC m=+1560.590410560,1675080353,ts-execute-service-775f544d9-tmwcv,2.8919945908422102,0.5783989181684421,415.00390625,20.7501953125,0,0,1893.758377527828,42213.29914330672,0.03625,0.09,0.0431249999999999,0.095,0.048625,0.099,0.2,0,2.6284850520637337,39.720902547639405,34009.4
2025-06-06 12:06:53.53597122 +0000 UTC m=+1620.712801563,1675080413,ts-execute-service-775f544d9-tmwcv,4.729391314178857,0.9458177014334068,413.9453125,20.697265625,0,0,2537.3308187264256,40956.78943865099,0.008625,0.0235,0.0093124999999999,0.02425,0.0098625,0.02485,0.1333333333333333,0,2.7499055375934667,39.73600274194158,32392.1
2025-06-06 12:07:53.646079495 +0000 UTC m=+1680.822909779,1675080473,ts-execute-service-775f544d9-tmwcv,6.393863491681939,1.2787726983363878,413.9453125,20.697265625,0,0,1891.2417243644816,37018.648607671705,0.0375,0.045,0.04375,0.0475,0.0487499999999999,0.0495,0.1333333333333333,0,2.798757972467225,39.79374451886122,29484.966666666667
2025-06-06 12:08:53.865767872 +0000 UTC m=+1741.042598176,1675080533,ts-execute-service-775f544d9-tmwcv,1.4693980666957136,0.2938126500366956,413.9453125,20.697265625,0,0,1615.16452074392,50878.612303290414,0.035,,0.0424999999999999,,0.0485,,0.0,0,2.61103181932677,39.74383337582042,29211.0
2025-06-06 12:09:53.56165905 +0000 UTC m=+1800.738489364,1675080593,ts-execute-service-775f544d9-tmwcv,1.709921000000255,0.341984200000051,413.9453125,20.697265625,0,0,1677.603323241569,50421.60107019644,0.01,0.0475,0.0175,0.04875,0.0234999999999999,0.04975,0.0,0,2.809695546425839,39.72351275893235,28107.0
2025-06-06 12:10:53.469664136 +0000 UTC m=+1860.646494439,1675080653,ts-execute-service-775f544d9-tmwcv,1.402791914437452,0.2805467279802943,413.9453125,20.697265625,0,0,1804.6485888212508,56519.48770653807,0.016,,0.0204999999999999,,0.0241,,0.0,0,5.457066039324243,39.72019510719552,30130.666666666668
2025-06-06 12:11:53.658189814 +0000 UTC m=+1920.835020124,1675080713,ts-execute-service-775f544d9-tmwcv,2.3406564573620723,0.4681312914724144,413.9453125,20.697265625,0,0,2551.490259617921,54552.809073439086,0.0042,,0.0046,,0.00492,,0.0,0,2.7334564998316213,39.69828884793324,59590.16666666666
2025-06-06 12:12:53.78034624 +0000 UTC m=+1980.957176548,1675080773,ts-execute-service-775f544d9-tmwcv,3.9232932461803935,0.7846264837344414,414.33203125,20.7166015625,0,0,3029.90593224947,78887.87994127563,0.0088,0.045,0.0093999999999999,0.0475,0.0098799999999999,0.0495,0.2,0,2.78384279476186,39.76844742436791,29155.0
2025-06-06 12:13:53.534408202 +0000 UTC m=+2040.711238504,1675080833,ts-execute-service-775f544d9-tmwcv,2.8940927534637986,0.5788185506927598,414.33203125,20.7166015625,0,0,2033.9325158047072,54654.46720999315,0.00775,0.0475,0.008875,0.04875,0.0097749999999999,0.04975,0.0666666666666666,0,2.794796475030692,39.7712283971473,29812.5
2025-06-06 12:14:53.481333802 +0000 UTC m=+2100.658164106,1675080893,ts-execute-service-775f544d9-tmwcv,1.5623020784608366,0.312446926421136,414.33203125,20.7166015625,0,0,1915.9706403442167,60003.45903990551,0.0042,,0.0046,,0.00492,,0.0,0,2.5801308944460977,39.69755701299129,26248.4
2025-06-06 12:15:53.457174555 +0000 UTC m=+2160.634004874,1675080953,ts-execute-service-775f544d9-tmwcv,5.087676474071991,1.017494380443304,413.625,20.68125,0,0,2538.4117647058824,44102.470588235294,0.0087,0.045,0.0093499999999999,0.0475,0.0098699999999999,0.0495,0.1333333333333333,0,2.609134069995056,39.75522560641673,29140.566666666666
2025-06-06 12:16:53.841257799 +0000 UTC m=+2221.018088092,1675081013,ts-execute-service-775f544d9-tmwcv,2.9783997625601075,0.5956799525120215,413.625,20.68125,0,0,3066.909446678987,78406.89205348407,0.01,0.0475,0.0175,0.04875,0.0234999999999999,0.04975,0.0666666666666666,0,2.643948296123211,39.74563856867722,26838.1
