Time,TimeStamp,PodName,CpuUsage(m),CpuUsageRate(%),MemoryUsage(Mi),MemoryUsageRate(%),SyscallRead,SyscallWrite,NetworkReceiveBytes,NetworkTransmitBytes,PodClientLatencyP90(s),PodServerLatencyP90(s),PodClientLatencyP95(s),PodServerLatencyP95(s),PodClientLatencyP99(s),PodServerLatencyP99(s),PodWorkload(Ops),PodSuccessRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%),NodeNetworkReceiveBytes
2025-06-06 11:39:53.970434667 +0000 UTC m=+1.147264954,1675078793,ts-inside-payment-service-6f94c49ccd-t4k6c,6.901587698212684,1.3802862852828857,510.46875,25.5234375,122.0,128.0,6964.285714285714,44059.001670843776,0.0175,0.0235,0.02125,0.02425,0.0242499999999999,0.02485,0.0666666666666666,0,9.29199796969784,58.42399345251672,100006.96666666666
2025-06-06 11:40:53.736255237 +0000 UTC m=+60.913085548,1675078853,ts-inside-payment-service-6f94c49ccd-t4k6c,9.443126697684283,1.8886253395368569,510.2265625,25.511328125,112.0,108.0,1878.5270997103848,65791.3942904427,0.0325,0.22,0.0412499999999999,0.2349999999999999,0.04825,0.247,0.1333333333333333,0,8.349258928854109,58.7050424647225,74890.2
2025-06-06 11:41:53.749216123 +0000 UTC m=+120.926046429,1675078913,ts-inside-payment-service-6f94c49ccd-t4k6c,10.520374236157751,2.103987359257196,510.22265625,25.5111328125,122.0,126.0,5891.275323619899,48328.55401404772,0.025,0.09,0.0375,0.095,0.0474999999999999,0.099,0.0666666666666666,0,8.936387200846651,57.30355415639556,65938.76666666666
2025-06-06 11:42:54.124728577 +0000 UTC m=+181.301558880,1675078974,ts-inside-payment-service-6f94c49ccd-t4k6c,9.34131663164878,1.8683647383708109,510.33203125,25.516601562500004,268.0,408.0,4993.747257569109,45423.92496709083,0.05,0.235,20.0,0.2424999999999999,27.999999999999982,0.2485,0.1333333333333333,0,11.05392990821108,61.95485310243127,963716.4666666668
2025-06-06 11:43:53.860576928 +0000 UTC m=+241.037407235,1675079033,ts-inside-payment-service-6f94c49ccd-t4k6c,4.8989678999997,0.97979357999994,510.31640625,25.5158203125,394.0,610.0,5063.930747034306,52997.30682911189,0.0449999999999999,0.22,18.99999999999996,0.2349999999999999,27.800000000000004,0.247,0.1333333333333333,0,7.881273519205711,61.97546645329612,65584.13333333333
2025-06-06 11:44:54.045113313 +0000 UTC m=+301.221943613,1675079094,ts-inside-payment-service-6f94c49ccd-t4k6c,14.495470769308197,2.899094153861639,510.26171875,25.5130859375,364.00000000000006,543.9999999999999,3692.2699787546985,66919.43127962085,0.0097499999999999,0.04,18.99999999999996,0.0449999999999999,27.800000000000004,0.049,0.3333333333333333,0,12.868104076323885,61.7956546080597,2702338.2333333334
2025-06-06 11:45:53.721098302 +0000 UTC m=+360.897928606,1675079153,ts-inside-payment-service-6f94c49ccd-t4k6c,18.512537437868318,3.7023469443734256,510.73046875,25.5365234375,384.0,566.0,5451.144010767161,55588.76177658143,10.999999999999991,0.0235,20.49999999999998,0.02425,28.10000000000001,0.02485,0.0666666666666666,0,9.9592114207695,60.3385224496467,71010.5
2025-06-06 11:46:53.710583047 +0000 UTC m=+420.887413342,1675079213,ts-inside-payment-service-6f94c49ccd-t4k6c,15.756895695651504,3.151311891776039,511.33984375,25.5669921875,362.0,544.0,10444.306212158912,70717.6743800282,0.0899999999999998,0.19,18.99999999999996,0.2199999999999999,27.800000000000004,0.244,0.1333333333333333,0,12.890222984724431,59.68257879117944,1964404.1
2025-06-06 11:47:54.059422436 +0000 UTC m=+481.236252783,1675079274,ts-inside-payment-service-6f94c49ccd-t4k6c,18.124850500495125,3.624800661466695,511.58203125,25.5791015625,394.0,592.0,2996.096021264225,69347.8694243708,0.05,0.09,20.0,0.095,27.999999999999982,0.099,0.1333333333333333,0,9.33344662061768,58.85743489413397,72646.1
2025-06-06 11:48:54.379538851 +0000 UTC m=+541.556369186,1675079334,ts-inside-payment-service-6f94c49ccd-t4k6c,7.723534594878576,1.5446705878904214,512.14453125,25.607226562500003,388.0,580.0,2487.7825290164933,49510.62919975565,13.000000000000004,,21.5,,28.29999999999999,,0.0,0,9.459516654820288,58.55799243038725,128347.56666666668
2025-06-06 11:49:53.712046564 +0000 UTC m=+600.888876874,1675079393,ts-inside-payment-service-6f94c49ccd-t4k6c,25.203479021756912,5.040695804351382,512.71484375,25.6357421875,438.0,632.0,10406.700748584992,77723.84517071389,13.999999999999991,0.095,21.99999999999998,0.0975,28.40000000000001,0.0995,0.2,0,8.360509931767101,59.354009296743214,77353.96666666666
2025-06-06 11:50:53.820513985 +0000 UTC m=+660.997344307,1675079453,ts-inside-payment-service-6f94c49ccd-t4k6c,6.004388147688376,1.200877629537675,512.56640625,25.6283203125,108.0,100.0,4846.5926148303815,80932.90303212249,0.0046,,0.0047999999999999,,0.00496,,0.0,0,12.51694915227679,60.358184415087024,87999.46666666666
2025-06-06 11:51:53.989879177 +0000 UTC m=+721.166709536,1675079513,ts-inside-payment-service-6f94c49ccd-t4k6c,10.813866446717316,2.162773289343463,512.37109375,25.6185546875,200.0,252.0,1462.2217407788548,43079.40204733791,0.0046,,0.0047999999999999,,0.00496,,0.0666666666666666,0,15.933520397301605,62.09036453918183,3854042.5
2025-06-06 11:52:54.007172941 +0000 UTC m=+781.184003259,1675079574,ts-inside-payment-service-6f94c49ccd-t4k6c,5.211090703993754,1.0416492815602028,512.2421875,25.612109375,96.0,96.0,1701.890152033968,54350.77386659362,0.0046,,0.0047999999999999,,0.00496,,0.0,0,12.757219069941929,62.20287196425718,72207.63333333333
2025-06-06 11:53:53.773689473 +0000 UTC m=+840.950519780,1675079633,ts-inside-payment-service-6f94c49ccd-t4k6c,7.618550713522123,1.5237101427044246,512.2421875,25.612109375,192.00000000000009,238.0,5892.747072118348,56174.13190877337,0.04125,0.235,0.0456249999999999,0.2424999999999999,0.049125,0.2485,0.0666666666666666,0,11.296928327355326,61.68805047709539,1529683.3333333333
2025-06-06 11:54:53.963509587 +0000 UTC m=+901.140339917,1675079693,ts-inside-payment-service-6f94c49ccd-t4k6c,3.7082475677020783,0.7416323873537505,512.37109375,25.6185546875,94.0,88.0,4886.620856911884,54935.52950687146,0.0325,0.235,0.0412499999999999,0.2424999999999999,0.04825,0.2485,0.1333333333333333,0,12.418965297887208,60.55941462962443,77942.43333333333
2025-06-06 11:55:54.021109808 +0000 UTC m=+961.197940118,1675079754,ts-inside-payment-service-6f94c49ccd-t4k6c,6.146387787622181,1.2291911023323747,512.1328125,25.606640625,84.00000000000001,88.0,8990.937476201356,63635.366689513365,0.0242499999999999,0.19,0.0362499999999999,0.2199999999999999,0.04725,0.244,0.2,0,9.386924446780275,60.5677819424607,64826.76666666667
2025-06-06 11:56:53.744519589 +0000 UTC m=+1020.921349903,1675079813,ts-inside-payment-service-6f94c49ccd-t4k6c,8.044820607834101,1.60893063531602,512.1328125,25.606640625,134.0,140.0,2321.8875699009127,78079.66251348965,0.0046,,0.0047999999999999,,0.00496,,0.0,0,11.46340430966064,60.585370375565496,88091.9
2025-06-06 11:57:53.629585173 +0000 UTC m=+1080.806415498,1675079873,ts-inside-payment-service-6f94c49ccd-t4k6c,9.986760222077256,1.9973520444154516,512.1328125,25.606640625,126.0,132.0,9785.950023573783,66158.88731730316,0.01,0.09,0.0375,0.095,0.0474999999999999,0.099,0.2,0,8.937648254800068,60.60034859737735,102133.63333333332
2025-06-06 11:58:54.008507675 +0000 UTC m=+1141.185337986,1675079934,ts-inside-payment-service-6f94c49ccd-t4k6c,6.598623101300492,1.319667251841253,512.1328125,25.606640625,101.99320045330312,97.9934671021932,10649.46305497676,45697.81482075119,0.0242499999999999,0.2275,0.0362499999999999,0.2387499999999999,0.04725,0.24775,0.0666666666666666,0,18.02738553704821,62.27071306337568,2708830.466666667
