Time,TimeStamp,PodName,CpuUsage(m),CpuUsageRate(%),MemoryUsage(Mi),MemoryUsageRate(%),SyscallRead,SyscallWrite,NetworkReceiveBytes,NetworkTransmitBytes,PodClientLatencyP90(s),PodServerLatencyP90(s),PodClientLatencyP95(s),PodServerLatencyP95(s),PodClientLatencyP99(s),PodServerLatencyP99(s),PodWorkload(Ops),PodSuccessRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%),NodeNetworkReceiveBytes
2025-06-06 11:39:53.99375609 +0000 UTC m=+1.170586394,1675078793,ts-news-service-7d4f5b99fd-rc6bm,0.0352555821869754,0.0070509486345753,1.58984375,0.0794921874999999,0,0,496.56750572082376,3872.711670480549,0,0,0,0,0,0,0,0,12.697819314653646,41.22970225295387,59536.53333333333
2025-06-06 11:40:53.89914399 +0000 UTC m=+61.075974305,1675078853,ts-news-service-7d4f5b99fd-rc6bm,0.039193564804343,0.0078387129608686,1.58984375,0.0794921874999999,0,0,472.7501717426151,2798.8893977558964,0,0,0,0,0,0,0,0,13.214137214115295,39.33451809278935,66429.0
2025-06-06 11:41:53.782378354 +0000 UTC m=+120.959208740,1675078913,ts-news-service-7d4f5b99fd-rc6bm,0.0319195922652507,0.0063836100940201,1.58984375,0.0794921874999999,0,0,369.9588837372059,308.3719709561718,0,0,0,0,0,0,0,0,12.373064757848184,37.22524781760722,32123.166666666668
2025-06-06 11:42:54.157836818 +0000 UTC m=+181.334667140,1675078974,ts-news-service-7d4f5b99fd-rc6bm,0.045682696981152,0.0091365393962304,1.58984375,0.0794921874999999,0,0,29336.24974467216,6308.708381561926,0,0,0,0,0,0,0,0,33.77717849341655,41.7438650886679,14668102.6
2025-06-06 11:43:53.896118904 +0000 UTC m=+241.072949203,1675079033,ts-news-service-7d4f5b99fd-rc6bm,0.0426892533583264,0.0085378506716652,1.58984375,0.0794921874999999,0,0,501.5059015059015,3863.899063899064,0,0,0,0,0,0,0,0,12.103554482553502,41.65809403347169,22749.433182181918
2025-06-06 11:44:54.079622785 +0000 UTC m=+301.256453097,1675079094,ts-news-service-7d4f5b99fd-rc6bm,0.0277524350876452,0.0055503685736592,1.58984375,0.0794921874999999,0,0,503.1978319783198,2702.818428184282,0,0,0,0,0,0,0,0,23.438417036541303,41.52463173455859,7738158.466666667
2025-06-06 11:45:53.761230254 +0000 UTC m=+360.938060555,1675079153,ts-news-service-7d4f5b99fd-rc6bm,0.0382497940207157,0.0076499588041431,1.58984375,0.0794921874999999,0,0,393.59455654622246,2810.0070389488505,0,0,0,0,0,0,0,0,12.30929120767189,41.50645783350024,32818.5
2025-06-06 11:46:53.736067406 +0000 UTC m=+420.912897721,1675079213,ts-news-service-7d4f5b99fd-rc6bm,0.113590963203464,0.0227181926406928,1.58984375,0.0794921874999999,0,0,449.9823970225821,3167.328873912388,0,0,0,0,0,0,0,0,21.267177335635125,41.33184201635164,27549.566666666666
2025-06-06 11:47:54.098458703 +0000 UTC m=+481.275289012,1675079274,ts-news-service-7d4f5b99fd-rc6bm,0.0181032750000004,0.003620655,1.58984375,0.0794921874999999,0,0,415.9329140461216,3311.3906359189377,0,0,0,0,0,0,0,0,21.76245802282124,41.70715136908022,30755.43333333333
2025-06-06 11:48:54.406165625 +0000 UTC m=+541.582995944,1675079334,ts-news-service-7d4f5b99fd-rc6bm,0.181794731124822,0.0363580072147185,1.58984375,0.0794921874999999,0,0,438.00127307447485,3060.1527689369827,0,0,0,0,0,0,0,0,22.136666150712227,41.15695785972432,72683.7
