Time,TimeStamp,PodName,CpuUsage(m),CpuUsageRate(%),MemoryUsage(Mi),MemoryUsageRate(%),SyscallRead,SyscallWrite,NetworkReceiveBytes,NetworkTransmitBytes,PodClientLatencyP90(s),PodServerLatencyP90(s),PodClientLatencyP95(s),PodServerLatencyP95(s),PodClientLatencyP99(s),PodServerLatencyP99(s),PodWorkload(Ops),PodSuccessRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%),NodeNetworkReceiveBytes
2025-06-06 11:39:54.302795298 +0000 UTC m=+1.479625608,1675078794,ts-route-service-b6c59fb57-dz9bw,13.25045179860336,2.6500903597206724,443.05859375,22.1529296875,424.0,358.0,6816.150802885734,63568.86199674192,0.0046,0.0235,0.0048,0.02425,0.00496,0.0248499999999999,0.7333333333333333,0,9.29199796969784,58.42399345251672,100006.96666666666
2025-06-06 11:40:54.37108387 +0000 UTC m=+61.547914196,1675078854,ts-route-service-b6c59fb57-dz9bw,11.783860710698464,2.3567721421396928,443.1875,22.159375,432.0,360.0,3193.5375670840785,36930.51207513417,0.0046,0.0235,0.0047999999999999,0.02425,0.00496,0.02485,0.2666666666666666,0,8.349258928854109,58.7050424647225,74890.2
2025-06-06 11:41:54.356777249 +0000 UTC m=+121.533607568,1675078914,ts-route-service-b6c59fb57-dz9bw,7.300261484195978,1.4600522968391956,443.1875,22.159375,146.0,130.0,2225.923153692615,39063.62275449101,0.016,0.0235,0.0204999999999999,0.02425,0.0241,0.02485,0.6,0,8.936387200846651,57.30355415639556,65938.76666666666
2025-06-06 11:42:54.543796242 +0000 UTC m=+181.720626564,1675078974,ts-route-service-b6c59fb57-dz9bw,5.132101508932997,1.0263967185224407,443.1875,22.159375,172.00000000000003,154.00000000000003,3020.287876907805,40206.04293336643,0.016,0.02335,0.0204999999999999,0.024175,0.0241,0.024835,0.7999999999999999,0,11.05392990821108,61.95485310243127,963716.4666666668
2025-06-06 11:43:54.361777985 +0000 UTC m=+241.538608289,1675079034,ts-route-service-b6c59fb57-dz9bw,3.55388260547784,0.7107235321150931,443.4453125,22.172265625,158.0,132.0,1778.6097451944568,33633.10236924452,0.0046,0.0235,0.0048,0.02425,0.00496,0.02485,0.1333333333333333,0,7.881273519205711,61.97546645329612,65584.13333333333
2025-06-06 11:44:54.378120395 +0000 UTC m=+301.554950721,1675079094,ts-route-service-b6c59fb57-dz9bw,3.325946649999878,0.6651893299999756,443.4453125,22.172265625,62.0,60.0,1510.257347183797,31625.20227593047,0.0046,0.0235,0.0048,0.02425,0.00496,0.0248499999999999,0.2,0,12.868104076323885,61.7956546080597,2702338.2333333334
2025-06-06 11:45:54.514189947 +0000 UTC m=+361.691020262,1675079154,ts-route-service-b6c59fb57-dz9bw,6.680040808240615,1.336008161648123,443.57421875,22.1787109375,74.0,68.0,0.0,0.0,0.0375,0.0235,0.04375,0.02425,0.0487499999999999,0.02485,0.1333333333333333,0,9.9592114207695,60.3385224496467,71010.5
2025-06-06 11:46:54.272484596 +0000 UTC m=+421.449314911,1675079214,ts-route-service-b6c59fb57-dz9bw,14.914559288439888,2.9829118576879776,443.57421875,22.1787109375,222.0,186.00000000000003,4150.564056740757,40357.98056517369,0.016,0.0235,0.0204999999999999,0.02425,0.0241,0.0248499999999999,0.1333333333333333,0,12.890222984724431,59.68257879117944,1964404.1
2025-06-06 11:47:54.578251815 +0000 UTC m=+481.755082122,1675079274,ts-route-service-b6c59fb57-dz9bw,6.393571248492547,1.2786582786642058,443.57421875,22.1787109375,212.0,182.0,3358.9468604214703,35330.95608343611,0.0046,0.0235,0.0048,0.02425,0.00496,0.02485,0.8,0,9.33344662061768,58.85743489413397,72646.1
2025-06-06 11:48:54.799476198 +0000 UTC m=+541.976306506,1675079334,ts-route-service-b6c59fb57-dz9bw,12.264459303136809,2.452839493446132,443.703125,22.18515625,414.0000000000001,344.0,4743.673926969891,55576.1531069827,0.035,0.0375,0.0424999999999999,0.3124999999999998,0.0485,0.4625,1.0,0,9.459516654820288,58.55799243038725,128347.56666666668
