Time,TimeStamp,PodName,CpuUsage(m),CpuUsageRate(%),MemoryUsage(Mi),MemoryUsageRate(%),SyscallRead,SyscallWrite,NetworkReceiveBytes,NetworkTransmitBytes,PodClientLatencyP90(s),PodServerLatencyP90(s),PodClientLatencyP95(s),PodServerLatencyP95(s),PodClientLatencyP99(s),PodServerLatencyP99(s),PodWorkload(Ops),PodSuccessRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%),NodeNetworkReceiveBytes
2025-06-06 11:39:54.508038548 +0000 UTC m=+1.684868860,1675078794,ts-train-food-service-59bbbdd99b-cz98n,2.1208273618884674,0.4241549265723696,437.1953125,21.859765625,0,0,1723.0235938723024,47064.352007156434,0.0041999999999999,0.0095,0.0046,0.00975,0.00492,0.0099499999999999,0.0666666666666666,0,3.323262839873053,48.335869952081936,71396.26666666666
2025-06-06 11:40:54.548056817 +0000 UTC m=+61.724887120,1675078854,ts-train-food-service-59bbbdd99b-cz98n,1.5897941848123434,0.317951221729145,437.1953125,21.859765625,0,0,1116.250163548345,27398.86170351956,0.00045,,0.000475,,0.000495,,0.0,0,2.7542194978557037,48.37582810092189,37107.3
2025-06-06 11:41:54.748317704 +0000 UTC m=+121.925148010,1675078914,ts-train-food-service-59bbbdd99b-cz98n,2.007112260920949,0.4014224521841898,437.1953125,21.859765625,0,0,416.13280980918927,461.8034029069367,0.0046,,0.0048,,0.00496,,0.0,0,3.255033557043852,48.39634385377562,34788.566666666666
2025-06-06 11:42:54.755674644 +0000 UTC m=+181.932504951,1675078974,ts-train-food-service-59bbbdd99b-cz98n,1.3645680160307072,0.2729004174612454,437.1953125,21.859765625,0,0,1118.2190978324545,24619.9179847686,0.0044,,0.0046999999999999,,0.0049399999999999,,0.0666666666666666,0,3.4035588383463766,48.384610111655945,68379.8
2025-06-06 11:43:54.6186685 +0000 UTC m=+241.795498804,1675079034,ts-train-food-service-59bbbdd99b-cz98n,1.948654840665426,0.3897309681330852,437.32421875,21.8662109375,0,0,347.1639168212438,321.7807283022552,0.0046,,0.0048,,0.00496,,0.0,0,2.779643936823817,48.37990197812353,29488.83333333333
2025-06-06 11:44:54.537050323 +0000 UTC m=+301.713880624,1675079094,ts-train-food-service-59bbbdd99b-cz98n,1.1851594900175826,0.2370261036297073,437.32421875,21.8662109375,0,0,1425.2000653274538,34211.00767597583,0.0046,,0.0048,,0.00496,,0.0666666666666666,0,2.9220370292623588,48.35984972028077,36498.833333333336
2025-06-06 11:45:54.684859538 +0000 UTC m=+361.861689852,1675079154,ts-train-food-service-59bbbdd99b-cz98n,1.939824856293654,0.3879649712587308,437.7109375,21.885546875,0,0,1547.155037410823,36431.70349747695,0.04,0.0095,0.0449999999999999,0.00975,0.049,0.0099499999999999,0.0666666666666666,0,3.005659190928278,48.39324575554444,33725.433333333334
2025-06-06 11:46:54.575533569 +0000 UTC m=+421.752363871,1675079214,ts-train-food-service-59bbbdd99b-cz98n,2.973934730281695,0.5947482812639108,437.7109375,21.885546875,0,0,336.11741809925394,311.6282841388258,0.0038,,0.0043999999999999,,0.00488,,0.0,0,3.0063822640340354,48.37485232195144,52563.66666666666
2025-06-06 11:47:54.853045864 +0000 UTC m=+482.029876185,1675079274,ts-train-food-service-59bbbdd99b-cz98n,12.159469050000029,2.4318938100000054,437.75390625,21.8876953125,0,0,1492.346509671993,35570.47939444912,0.0046,0.0095,0.0047999999999999,0.00975,0.00496,0.0099499999999999,0.0666666666666666,0,3.431660102225087,48.36053276556008,57679.333333333336
2025-06-06 11:48:55.034383602 +0000 UTC m=+542.211213919,1675079335,ts-train-food-service-59bbbdd99b-cz98n,3.0587438155988638,0.611723541696955,437.75390625,21.8876953125,0,0,619.7448796263026,921.397772188286,0.0046,0.0095,0.0047999999999999,0.00975,0.00496,0.0099499999999999,0.0666666666666666,0,2.9063418731506863,48.404418424756095,42442.833333333336
2025-06-06 11:49:54.809014944 +0000 UTC m=+601.985845259,1675079394,ts-train-food-service-59bbbdd99b-cz98n,1.1272160289287922,0.2254317093002965,437.8828125,21.894140625,0,0,1193.3665981802171,24939.536248899323,0.0044666666666666,0.0235,0.0047333333333333,0.02425,0.0049466666666666,0.02485,0.0666666666666666,0,2.920565649795548,48.37170543477174,38332.26666666667
2025-06-06 11:50:54.638350222 +0000 UTC m=+661.815180549,1675079454,ts-train-food-service-59bbbdd99b-cz98n,0.6638002333332338,0.1327600466666467,438.140625,21.90703125,0,0,1573.8892466194463,34168.74597553123,0.00045,0.0095,0.000475,0.00975,0.000495,0.0099499999999999,0.1333333333333333,0,3.02255386937813,48.38431737796481,37278.66666666666
